accx,accy,accz
-0.00615,-0.1967,-0.00215
-0.0222,-0.1544,-0.054
0.0252,-0.1668,-0.1119
0.06995,-0.195,-0.09375
0.0088667,-0.2033667,0.0063667
-0.0316,-0.1904,-0.01745
-0.00435,-0.183,-0.07545
0.0205,-0.17545,-0.07495
0.01895,-0.1689,-0.0859
0.018,-0.1783,-0.0674
-0.00465,-0.2106,-0.04475
-0.0261,-0.21895,-0.00165
-0.0835,-0.1803,-0.067
-0.0423,-0.191,-0.05745
-0.03745,-0.2013,-0.0102
-0.0204,-0.1357,-0.0968
-0.0153,-0.1589,-0.07155
-0.0381,-0.21445,-0.1193
-0.00355,-0.1912,-0.0502
0.01705,-0.2009,0.0298
-0.03525,-0.18585,0.0035
-0.03365,-0.17975,0.0135
0.039,-0.15495,-0.0408
0.01765,-0.1717,-0.0881
0.00155,-0.2043,-0.09885
-0.0093333,-0.2000333,-0.0887
0.0261,-0.1856,-0.0554
0.0110667,-0.1722,-0.0694333
-0.0123,-0.1617,-0.091
-0.0279333,-0.1744333,-0.0771667
-0.01835,-0.1892,-0.045
-0.0049,-0.1846,-0.0559
0.0055667,-0.1806333,-0.0627333
0.0427,-0.18,-0.0956
0.024,-0.1723667,-0.0805
-0.04745,-0.2019,-0.07335
-0.06025,-0.20685,-0.1038
-0.0152,-0.1861,-0.0999
-0.008,-0.1501667,-0.0626
0.0188,-0.1497,-0.0478
0.06085,-0.2287,0.01875
0.03415,-0.18895,-0.08185
0.0408,-0.1277,-0.1386
0.0255,-0.18305,-0.1007
0.04825,-0.2094,-0.1404
0.0557,-0.1739,-0.1087
-0.00375,-0.1494,-0.0978
-0.0446,-0.125,-0.167
-0.0426333,-0.1508333,-0.1919333
0.00325,-0.15335,-0.19455
-0.01005,-0.11245,-0.26465
-0.1129,-0.0925,-0.23975
-0.124,-0.0996,-0.1759
-0.1308667,-0.1369,-0.0797333
-0.1013,-0.26215,-0.0518
0.01645,-0.3095,-0.0808
0.1026,-0.23485,-0.18825
0.08825,-0.13775,-0.29435
0.0601,-0.06355,-0.29345
0.0785,-0.09535,-0.19825
0.078,-0.21285,-0.09665
0.0692,-0.386,-0.16495
0.0686,-0.39345,-0.2596
0.0389,-0.31,-0.25525
-0.0035,-0.1306,-0.1646
-0.013,-0.0822,0.0242
-0.02965,-0.1991,0.24505
-0.01745,-0.31855,0.2456
0.0174,-0.28545,0.0452
0.0754,-0.21225,-0.0814
0.10145,-0.06145,-0.11345
0.0356,-0.03185,0.00215
-0.072,-0.1515,-0.13455
-0.02645,-0.2843,-0.30685
0.10425,-0.26875,-0.2904
0.1586,-0.2542,-0.30235
-0.0256333,-0.2732,-0.2803667
-0.264,-0.3655,-0.3323
-0.3,-0.42715,-0.37835
-0.0635333,-0.3110333,-0.4665333
0.0611,-0.07365,-0.1581
0.3201,0.0711,0.14925
0.9343,-0.32935,-0.02215
0.9204,-0.93395,-0.0042
0.1011,-1.13845,0.5976
-0.85655,-0.64685,0.6178
-1.4875,0.3584,0.30795
-1.1094,0.9037,0.3825
-0.34125,0.59375,0.2671
0.08395,-0.33825,-0.08035
0.0669,-0.75645,-0.09675
-0.3176,-1.0277,-0.0282
-0.4717,-1.0115,0.004
-0.1498667,-0.8089667,-0.1692333
0.35825,-0.5449,-0.3704
0.4262,-0.58235,-0.42875
0.10335,-0.8909,-0.3539
-0.1541,-1.2343,-0.49375
-0.26455,-1.24255,-0.63735
-0.2578,-0.9157,-0.3558
-0.08955,-0.7769,-0.3062
0.04785,-1.2628,-0.3826
0.19845,-1.4876,-0.31805
0.49445,-1.09685,-0.3541
0.6936,-0.04275,-0.18045
1.00455,0.7882,0.0871
0.8305,0.49195,0.2907
0.0736,-0.25825,0.11515
-0.4254,-0.1749,-0.2621
-0.33995,-0.0468,-0.2507
0.01805,-0.76615,0.13405
0.05605,-1.98615,0.4927
-0.2405,-2.50015,0.29815
-0.48645,-1.971,-0.10485
-0.3242,-1.0338,-0.3681
