accx,accy,accz
-0.24175,5.0904,-1.7225
-0.7696,4.037,-2.2999
-2.1093333,2.0234667,-2.6116333
-3.5238,-0.4272,-2.13335
-3.3474,-1.90625,-1.72895
-2.1808,-2.6196,-1.2288
-1.0144,-2.8024,-0.6748
0.6451333,-2.6342667,-0.3115
1.95695,-2.0312,0.07885
2.2254,-1.0985,-0.11815
1.6002,-0.10905,-0.71325
0.8522,0.1646,-1.136
0.2095333,-0.3706,-1.3582
-0.5046,-1.6236,-1.38675
-0.9216,-2.7208,-1.03505
-0.9167,-3.5604,-0.6663
-0.57175,-3.83505,-0.2385
-0.384,-3.5052,0.1647
0.0066667,-2.4892,0.7208333
0.6231,-1.1642,1.12565
0.9622,-0.512,1.0947
1.0513,-0.27665,1.09725
0.8175,-0.381,1.093
-0.0146667,-0.6343667,1.0890667
-1.52615,-0.523,1.13765
-2.2658,0.3718667,1.4804
-2.1631,1.413,1.7178
-2.1191,1.3373,1.6388
-1.55795,2.29,1.0346
-0.8032,3.3904667,-0.1191
-0.0861,4.1224,-0.9895
0.48305,5.0594,-1.82765
0.1102667,4.2194333,-2.9007
-0.05805,1.0467,-2.45285
0.6717,-1.1718,-1.6744
0.6963,-2.08975,-1.33005
0.3388,-2.0308,-1.3533
0.11785,-1.61385,-1.616
-0.1334667,-0.3579333,-1.7178
-0.21505,0.7998,-1.30815
0.1166,1.0328,-0.8378
0.58865,0.8592,-0.39465
0.9209,0.00915,-0.03995
0.7522,-1.4235333,0.0499333
0.1664,-2.53665,-0.37975
0.07605,-2.92395,-0.91215
0.3539,-2.9299,-1.2937
0.6449,-2.8475,-1.3855
0.8917333,-2.877,-1.1637667
0.9039,-3.081,-0.90315
0.78955,-3.22705,-0.61235
0.64425,-3.04135,-0.1397
0.336675,-1.859825,0.48935
-0.14025,-0.10295,0.77825
-0.16085,1.08435,0.71185
-0.0269,2.17925,0.65915
0.84955,2.75485,0.971425
1.7534,2.2481,1.7952
1.5519,2.14125,2.31145
0.9771,2.40945,2.4471
-0.780325,4.211625,0.02945
-1.8902,4.8072,-2.514
-1.59075,2.4565,-2.61715
-1.9892,0.1628,-1.7866
-2.2861,-1.2966,-1.1134
-2.0075,-2.3263667,-1.0292667
-1.2788,-2.48885,-1.2863
-0.7699,-1.8136,-1.48785
-0.2567,-0.7428667,-1.0638667
-0.3107,0.1519,-0.5083
-0.6118,0.5281,-0.2205
-0.99905,0.4121,0.09665
-0.8737333,-0.7661667,0.1465333
-0.5115,-1.8382,-0.0656
-0.3059,-2.3062,-0.2682
0.1744,-2.837425,-0.813925
0.4721,-2.6651,-1.0182
0.4527667,-2.3188,-0.8214667
0.0992,-2.0756,-0.53835
-0.503975,-1.8454,0.010275
-0.64085,-1.61305,0.38345
-0.40625,-1.497,0.45945
-0.2234,-1.4783,0.5205
0.09225,-1.5084,0.8836
-0.258,-1.07155,1.47195
-0.58635,-0.3594,1.78725
-0.9058,0.68875,1.88815
-0.9572,1.984225,1.4798
-0.3493,3.0673,0.878
-0.365,3.53875,0.3818
-0.0887,4.9868,-0.2812
0.1163,6.15275,-1.32535
-0.06,4.05335,-1.32955
0.72115,0.5144,-1.02275
1.34105,-1.21435,-1.266
1.48085,-1.8724,-1.5856
0.839275,-1.422725,-1.937325
0.2471,-0.69635,-1.86835
0.06035,-0.37475,-1.1668
0.2123,-0.0513,-0.5102
0.9418333,0.1922,0.0026
1.4761,0.1648,0.0306
1.3581,-0.3273,-0.2454
1.0322,-0.99775,-0.52895
0.6201,-1.5208,-0.6723
-0.0332333,-2.3321,-0.9177667
-0.59605,-3.1969,-1.13635
-0.6875,-3.48885,-1.1419
-0.53845,-3.4498,-0.96235
-0.2887,-3.1427,-0.7189
0.2496333,-2.5077667,-0.4169333
0.8404,-1.46235,-0.25075
1.07855,-0.68045,-0.23345
0.95005,0.0635,-0.1096
0.7869,0.274,0.1603
0.7042,0.0066,0.5407
0.8049,-0.5739333,1.1226333
0.58525,-0.60575,1.5074
0.1526,-0.3134,1.6051667
-0.00555,-0.21825,1.7599
-0.11015,0.032725,1.763725
0.0708,0.9794,1.5033
0.1446,2.5778,1.52785
0.0487667,5.8031333,1.0203667
-1.129,7.51385,-1.5553
-1.27595,3.28065,-2.43125
-1.78465,0.507,-1.77995
-1.995,-1.0039,-1.0811
-1.31068,-2.4306,-2.22886
0.2916,-1.84855,-2.8887
1.1067,-0.9344,-2.45005
1.0957,-0.3508,-1.8032
0.73376,-0.0032,-0.46676
0.26905,-0.2354,-0.079
0.0064,-0.7656,-0.0583
-0.1775,-1.2119,-0.0257
-0.2021,-1.40825,-0.208
-0.3707,-1.1096333,-1.1379333
-0.91825,-1.0658,-1.84835
-1.0059,-1.5528,-1.61615
-1.05215,-2.11,-1.1604
-1.1574,-2.407,-0.8968
-1.0445333,-2.6503333,-0.8302333
-0.60435,-2.54895,-0.9966
-0.65065,-2.0095,-0.89755
-0.82295,-1.7413,-0.7011
-1.2011,-1.9925,-0.055725
-1.23275,-2.825,0.9168
-1.1266,-3.48085,1.30795
-0.79705,-3.56385,1.2966
0.075625,-2.274625,1.10535
0.80165,0.69015,1.3542
0.9436,3.92965,1.04955
1.11205,6.47995,0.13795
0.7994,6.5742,-0.0249
-0.7220333,5.7646667,1.206
-1.54455,4.76915,1.9905
-1.72985,4.4354,1.63335
-1.903,3.6206,0.9071
-2.19985,2.19235,-0.05945
-1.9634333,0.2386667,-1.3280667
-1.494,-1.20045,-2.074
-1.3696,-1.5978,-2.3546
-1.4844333,-1.6090667,-2.7409
-1.45915,-1.4007,-2.84885
-0.7867,-0.8894333,-1.7077333
-0.4087,0.5682333,0.0835
-0.6391,0.9367,0.4285
-1.03915,0.2732,0.18945
-1.5892,-0.8368,-0.11585
-1.6152,-1.9860667,-0.7127667
-0.63715,-2.8427,-1.2512
0.1605,-3.0523,-1.3573
0.81675,-2.9856,-1.37975
1.1209857,-2.5117,-1.0931429
-0.06515,-1.9655,-0.74855
-0.4529,-1.7115,-0.6373
-0.41155,-1.210125,-0.103225
-0.2674,-0.7177,0.9090667
-0.3607,-0.9042,1.40475
-0.6416,-1.1121,1.5415
-0.7592,-1.2408667,1.4943667
-0.75815,-1.19015,1.2295
-0.70215,-0.8698,0.98895
-0.51215,-0.46055,0.88025
-0.106,-0.07085,0.9187
0.209125,0.0271,0.65705
1.0415,-0.0527,0.70665
1.65325,-0.05265,1.19325
1.2883,-0.0922,1.6454
-0.323875,1.1079,1.95855
-1.86685,2.78105,0.78035
-3.5099,4.01665,-0.86305
-3.8107,4.3094,-1.8318
-2.6580333,3.0622667,-2.304
-1.4827,0.7868,-2.60375
-1.5817,-1.14065,-2.7446
-2.02995,-2.7423,-2.61985
-2.2921,-3.4352,-2.558
-2.0725,-3.2902,-2.51445
-1.1451,-1.4144333,-2.2201667
-0.0505,1.5634,-1.6701
0.4431,3.37235,-1.2888
0.1731,3.4263,-1.09365
-0.41438,-0.04898,-0.56408
-1.03055,-3.32525,-0.07305
-1.424,-4.2082,0.208
-2.0528667,-4.3631667,0.5494667
-2.472875,-2.24935,0.4094
-1.7993,-0.0942,0.2624
-1.0695,0.7383,0.3731
0.07825,0.9322,0.5648
0.9255,0.3662,0.6726
1.4679333,-0.7756667,0.6281
1.0303,-2.00955,0.8295
-0.4535,-1.7344333,1.1295
-1.6816,-0.3668,1.1784
-1.81046,2.135,0.83188
-1.2514,3.6793,1.3814
-1.74525,4.3383,1.8649
-2.6286,4.055,1.2983
-2.9381,2.89898,-1.23716
-2.45455,0.9296,-3.2759
-1.41055,-0.9363,-3.5286
-0.3401,-2.4139,-3.4519
0.48842,-4.238,-2.7155
-0.43675,-3.6067,-1.4051
-1.77675,-0.74765,-0.4907
-3.48845,3.3922,-0.02245
-4.0471,5.9129,-0.6679
-3.1962667,5.5536333,-1.2214
-1.12565,1.53435,-1.2943
0.69635,-2.0374,-1.4192
1.7845,-4.22695,-1.33805
1.957,-4.774,-0.939
1.5126667,-3.8063333,-0.3198
0.42135,-1.98345,-0.05415
-0.0814,-0.7788,-0.04625
-0.3253,-0.08775,0.1597
-0.381075,-0.62085,0.5972
-0.9065,-1.1092,0.83075
-0.9807,-0.7095,0.76925
-0.74225,0.26245,0.50025
0.773925,0.873725,0.463825
1.89385,0.57655,0.89705
1.85895,-0.257,1.6466
0.87035,0.03965,2.3633
-1.94748,2.85324,0.7065
-4.6542,4.9279,-2.15005
-3.66125,2.92785,-2.19365
-2.5057,0.6074,-1.4443
-2.58882,-3.59834,-1.21322
-2.67495,-5.3337,-2.8417
-1.5502,-2.97275,-2.6589
-0.6506,0.1769,-2.4561
-0.27195,3.5019,-2.29045
0.04342,5.71976,-0.8218
-0.6268,1.009,0.254
-1.0795,-2.8656667,0.2967
-1.488,-5.5923,-0.1751
-1.55338,-5.84642,-0.30526
-1.1827,-2.8558,0.0594
-0.84725,-0.5294,0.15555
-0.7561,1.3019,0.1935
-0.6637,2.250725,0.977175
-0.86565,0.6896,1.2934
-1.0365,-1.38265,1.2143
-0.95545,-2.9875,1.419775
-0.11935,-1.85365,1.89065
0.2706,0.4704,1.772
0.16035,3.0005,1.64105
-1.48525,5.370275,1.06655
-2.9784,4.96785,-0.23695
-3.14185,2.91635,-1.42305
-3.1298,0.54085,-2.95455
-1.91925,-1.44725,-3.28295
0.277675,-3.55215,-2.510325
0.9104,-3.25815,-1.152
0.58335,-1.1718,-0.9078
-0.4586,1.4347,-0.80375
-1.56975,3.73415,-0.742875
-0.88485,2.37235,-0.8812
0.82305,-0.3265,-0.576
1.9164,-2.0068,-0.4224
2.4494667,-3.1024333,-0.1498
2.20925,-3.09175,0.26325
1.51575,-1.9379,0.35735
0.4545,-0.47615,0.34365
-0.2073,0.2167,0.2448
-0.67805,-0.2504833,0.1581
-0.5788,-1.23545,0.05655
-0.3487,-1.1807,0.0799
-0.2111,-1.1216,0.2193
0.19662,-0.91704,0.93
0.0577,-0.3879,2.6025333
-0.1999,0.5785,3.4628
-0.4466,1.64045,3.6455
-0.3308,3.0572,3.6271
-0.07245,6.216475,1.3472
0.28875,7.4138,-1.90255
1.0353,5.4466,-2.2602
0.1730667,2.1378667,-1.7175667
-2.1804333,-2.0276,-1.4039
-2.5569333,-3.9101667,-2.2338667
-2.51115,-3.1597,-1.97625
-1.9361,-1.68,-1.8304
-0.9096,1.82546,-2.16428
0.05275,3.7084,-1.5045
1.47545,1.8041,-0.4991
2.1216,-0.2676,-0.5247
1.9103,-3.08424,-0.5863
0.5817,-4.87815,-0.92575
-0.5293,-4.9299,-0.95865
-1.37025,-4.3078,-0.73745
-1.51945,-2.627625,-0.19515
-1.19635,-1.0379,0.26745
-0.82375,-0.2795,0.29025
-0.2508,0.20235,-0.0382
0.0755,0.3068,-0.4995
0.4904,0.0212667,-0.9081333
0.7914,-0.1985,-0.3753
0.4591,-0.36035,0.72095
0.00535,-0.40755,1.6504
-0.2895,-0.219,2.1453
-0.4994,-0.0045,2.4107
-0.908775,0.5156,2.57695
-1.14955,0.81975,2.19955
-1.0676,1.41625,1.81245
-0.9276,2.3351,1.7061
-0.8992,4.0178,1.2511667
-0.4458,6.2465,0.02005
-0.63495,6.1905,-1.2853
-0.9385,4.18905,-1.9461
-0.1741,0.19566,-2.12334
1.0684,-1.6313,-2.2773
1.3984333,-1.5436667,-2.4267667
0.6822,-1.5395,-1.7881
0.778275,-1.46265,-2.0617
1.1315,-0.60435,-0.6648
1.29335,-0.4213,0.29775
0.9645,-0.481,0.67545
0.04,-1.415475,0.559725
-0.0845667,-3.0588333,-0.1862667
0.34405,-4.11265,-1.38295
0.68785,-4.7012,-1.96465
1.2808,-4.7705,-1.4527
1.4643667,-3.5095333,-0.3069667
0.9999,-1.5849,0.60205
0.43545,-0.0294,1.326
-0.29545,1.25775,1.5274
-1.1967,2.0613,1.0615667
-0.7919667,2.0671333,0.8288
0.96805,1.7127,1.65515
1.7671,2.596975,2.400975
1.2961,3.9778,1.11955
0.12805,4.99585,-0.7516
-0.89585,5.0567,-1.91925
-0.734825,1.658475,-1.911325
-1.79655,-1.735,-2.117
-2.31355,-2.70215,-2.13345
-2.09335,-2.3406,-2.43
-1.5264,-0.9319,-2.2589667
-0.6855667,-0.0851333,-1.7753667
-0.39915,0.10755,-0.31805
-0.14695,-0.03725,0.5268
0.0223,-0.1971,0.3713
-0.017,-0.4719,-0.1437
0.1310333,-1.1726667,-0.8294667
0.73225,-1.97725,-1.15655
0.92785,-2.1118,-0.8292
0.66315,-1.8896,-0.34505
0.18765,-1.70915,-0.233625
-0.51415,-1.51275,-0.1894
-0.73535,-1.60415,-0.3249
-0.7428,-1.7887,-0.4464
0.12712,-2.28172,-0.23524
0.8554,-2.5172,0.39225
0.2189333,-2.2196667,0.8596
-1.45596,-0.58854,1.31854
-2.0416,1.93605,1.76705
-1.5849667,3.4849,2.5456
-0.6337,4.2872,2.5445
0.50394,4.13982,1.85824
1.10465,3.0679,1.0392
0.9417,2.6309,0.3236
0.4113,2.2298,-0.1119
