accx,accy,accz
0.0048,-0.05635,0.015175
-0.000275,-0.02785,-0.0127
0.00085,-0.005025,0.0036
0.018775,0.018825,0.013475
0.014675,0.01645,0.00775
-0.0126,0.02095,0.02375
0.004275,0.02005,-0.039075
0.00435,0.00625,-0.0043
-0.00535,-0.028175,0.016725
0.0112,-0.02595,0.02675
0.0066,-0.009975,0.017075
0.0033,0.0035,0.004325
0.0056,0.002325,-0.015025
-0.0073,-0.005725,-0.027275
-0.02105,-0.01125,-0.01455
-0.009175,0.006525,-0.021775
-0.010625,-0.002825,0.00185
-0.01208,-0.00606,0.01128
-0.01755,0.015025,0.0122
-0.0025,0.006825,0.011675
0.003575,0.008475,0.0019
0.0259,0.010525,-0.006875
0.01005,-0.00055,0.005025
0.0052,-0.0191,0.001275
-0.003825,-0.00835,0.0007
0.010975,-0.007225,0.007675
-0.00285,0.00175,0.010375
-0.009875,0.008625,0.01175
-0.008425,0.000275,-0.003225
0.00035,0.00185,0.006275
-0.003725,-0.02335,-0.004625
-0.009675,-0.001975,-0.0203
-0.007825,0.002025,-0.015025
0.00305,0.01075,0.009625
-0.000525,-0.0005,0.014975
-0.015075,0.011125,-0.023125
-0.0028,0.0179,-0.078525
0.028075,-0.014425,0.040725
-0.000225,-0.020425,-0.021525
-0.00476,-0.00304,-0.10306
-0.015975,-0.038175,0.10535
0.0008,0.005575,0.0773
0.02,0.0611,-0.045775
0.000925,0.058175,-0.067325
-0.023675,0.053375,-0.0051
-0.07715,0.089425,0.07805
-0.0714,0.0835,0.08645
-0.020125,0.019225,0.002175
-0.001825,-0.0174,0.02435
0.02605,-0.006375,-0.0178
0.006925,0.0217,-0.05695
-0.0133,0.0019,0.060875
-0.05105,-0.025225,0.068725
-0.0225,-0.024175,-0.0607
0.006925,-0.0445,-0.04065
0.01615,-0.0647,-0.040425
0.06525,-0.09065,0.084375
0.06285,-0.108425,0.08175
0.07424,0.01156,-0.02472
0.07445,0.0768,-0.071925
0.0349,0.032425,-0.0145
-0.0014,-0.0025,-0.039575
-0.042825,-0.0152,-0.043675
-0.03815,-0.01125,0.026775
-0.01965,0.045575,0.001875
-0.00825,-0.05205,0.008925
-0.00435,-0.06595,-0.03435
-0.00885,-0.024125,-0.039575
-0.0047,0.003075,0.008725
0.00945,-0.00285,0.0229
0.033925,-0.000225,-0.0148
-0.004575,0.02735,-0.027625
0.0041,0.013175,0.012525
0.006125,-0.0195,0.005725
0.026125,-0.019025,0.018
