accx,accy,accz
0.0026,-0.0327,-0.0180333
-0.00764,-0.01954,-0.01002
-0.018075,-0.00335,0.002975
-0.0143,0.014075,0.021225
0.004325,0.010375,0.03145
0.0043,0.00075,0.032425
0.007325,-0.0135,0.022525
-0.006575,-0.011575,0.026675
0.0086,0.036575,0.007675
0.01035,0.033475,-0.01215
-0.004475,0.0004,-0.027325
-0.0176,-0.00445,-0.005325
-0.03025,0.0082,0.01105
-0.02585,0.006,0.0224
-0.009975,-0.006325,0.01475
-0.03275,-0.006275,-0.031925
-0.036125,-0.0056,-0.005625
-0.020675,-0.0384,0.0837
-0.019425,-0.042575,0.061425
-0.0179,0.0312,-0.05604
-0.0136,0.0266667,-0.0558333
-0.01448,-0.00324,0.02028
-0.01625,-0.02155,0.01215
0.02075,0.016175,0.02635
0.02985,0.0204,0.027975
0.0186,0.0158,0.017225
-0.01585,-0.031425,0.019425
-0.02895,-0.0403,0.01955
-0.022925,-0.010425,0.01065
-0.016425,0.01565,-0.008375
-0.01365,0.024775,-0.0334
-0.004625,0.00965,0.011075
-0.0106,-0.00865,0.06355
-0.022425,-0.015225,0.065025
-0.0251,0.00925,-0.011775
-0.0211,0.033075,-0.019975
-0.0016,0.016825,0.01155
0.0172,-0.0059,0.050075
0.017925,-0.0225,0.048825
-0.00298,-0.0245,0.00882
-0.0222667,-0.0142667,-0.0115667
-0.0128,0.00616,-0.0187
-0.0155,0.009575,0.026475
0.0064333,-0.0211,0.0524667
0.02342,-0.04042,0.05274
0.01015,-0.033075,0.00835
-0.011625,0.01255,-0.02235
-0.014325,0.0324,0.0371
-0.014,-0.03405,0.100875
0.004175,-0.0348,0.04225
0.00375,-0.0125,-0.038475
-0.013375,-0.0065,-0.036525
-0.024875,0.00355,0.008675
-0.0274,-0.00635,0.04065
0.012875,-0.015375,0.034575
0.00255,0.008675,0.042175
0.009875,-0.002725,0.028325
0.010075,-0.00985,0.027275
0.034675,-0.021575,0.04285
0.0099,-0.036575,0.04345
-0.01262,-0.02554,0.03862
-0.024125,-0.016525,0.018575
-0.02765,-0.007025,0.0389
0.00255,-0.007875,0.00955
0.014525,-0.0174,0.008625
0.00375,-0.0066,0.01305
-0.0005,0.0255,0.00375
-0.020075,0.054275,-0.008925
-0.0018,0.017675,-0.0203
-0.005825,-0.00625,-0.033125
-0.0204,0.00725,-0.0019
-0.0238667,-0.0103667,0.0099
-0.01358,-0.01636,0.01622
-0.009725,-0.013975,0.029175
0.01105,-0.011525,-0.019275
0.022375,0.02875,-0.11145
-0.019875,0.043225,-0.099875
-0.0142,0.005425,0.021125
0.04895,-0.029525,0.0233
0.06285,-0.02935,-0.126575
0.026725,-0.015025,-0.16415
-0.002025,-0.000325,-0.062575
-0.01994,0.03288,-0.00156
-0.0137,0.0254,-0.013275
-0.004625,-0.003525,-0.009875
-0.03215,-0.0004,-0.016
-0.053325,0.02165,0.0095
-0.03515,0.003925,0.01295
-0.0042,0.001175,-0.013475
0.003475,0.003475,-0.05565
0.018125,0.00705,-0.060725
0.04415,0.0104,-0.046975
0.037125,0.022575,-0.01975
0.00565,0.031425,-0.0293
0.004525,0.026875,-0.03155
0.0055,0.005825,-0.014075
-0.00635,-0.031725,0.002075
-0.001175,-0.0221,0.00975
0.007675,0.00945,-0.011425
0.006625,0.019125,-0.034425
0.01285,0.01775,-0.053575
0.02745,0.016275,-0.02255
0.028025,-0.001625,0.036675
0.0358,-0.014325,0.054825
0.00288,0.00692,-0.01012
-0.010725,0.032075,-0.047675
-0.035125,0.01395,-0.0348
-0.05205,-0.02255,-0.01915
-0.012525,-0.006475,-0.0011
0.041425,-0.00035,0.0013
0.03485,-0.0001,0.0174
0.0001,0.0042667,0.0165333
-0.0026,-0.00704,-0.01698
-0.0047,-0.009325,0.01725
-2.5e-05,-0.007975,0.063825
-0.016575,0.003425,0.071875
-0.0198,0.025575,0.054425
-0.02665,-0.010775,0.03725
-0.01245,-0.043425,0.03015
-0.016575,-0.040075,0.0257
-0.018625,-0.006,0.014625
-0.02305,0.026725,0.003525
-0.016725,0.03545,-0.015725
-0.013125,0.0232,-0.00525
0.020525,-0.004725,0.0125
0.02098,-0.02492,0.04516
0.007875,-0.0342,0.068425
-0.001625,-0.017375,0.052075
-0.01795,-0.00115,0.0121
-0.0187,0.009675,0.0176
-0.019325,-0.0097,0.053
0.01955,-0.049975,0.072925
0.0069,-0.0369,0.021425
-0.0328,0.02505,-0.001525
-0.027275,0.03165,0.031675
-0.013875,-0.022275,0.001725
0.009225,-0.016075,-0.032625
-0.002025,-0.0076,-0.019125
-0.0079,0.001325,0.024475
-0.026375,-0.0004,0.072175
-0.018325,0.004,0.0637
-0.020225,0.013775,0.045825
-0.0232,0.0108,0.0325
-0.00915,-0.005675,-0.004675
-0.00955,0.0197,-0.0176
-0.005425,0.0067,0.025
-0.016575,-0.009975,0.021775
-0.01656,-0.01824,0.00314
-0.019575,0.01215,-0.0029
-0.0191,0.002425,0.00525
-0.0114,0.01475,-0.010775
0.0024,0.0041,-0.0098333
0.00544,0.00202,0.00784
-0.0056,0.001925,0.014825
-0.018975,-0.0019,0.017475
-0.02255,0.001775,0.026175
-0.0104,-0.005925,0.019875
-0.023175,-0.014025,0.032675
-0.002775,-0.018025,0.05425
0.0059,-0.02995,0.037625
-0.019525,0.008975,-0.019175
0.000875,0.064125,-0.0146
-0.01315,0.034725,-0.002425
0.0084,-0.0185,-0.06015
0.005575,0.005075,-0.060625
-0.012275,0.02455,-0.02175
-0.0167,0.018125,0.0065
-0.01426,0.01506,-0.04588
0.0242333,0.015,-0.0684333
0.01674,0.0177,-0.00574
0.00305,0.00325,0.021175
-0.00105,-0.0036,-0.026
-0.0096,0.0009,-0.055625
-0.003825,0.005525,-0.03135
-0.01095,-0.0128,0.0252
-0.01465,-0.022725,0.04415
-0.0032,-0.01425,0.0024
-0.001175,-0.009525,-0.0376
0.01245,0.008975,-0.050825
0.0244,0.03395,-0.006275
0.0355,0.02145,0.013625
0.03855,-0.003625,-0.02055
0.025775,-0.013975,-0.0407
0.005725,-0.003025,-0.0463
-0.001875,0.0027,0.003525
0.022475,-0.018625,0.03675
0.0505,-0.045275,0.047775
0.036075,-0.0011,-0.001125
0.003025,0.025625,-0.024125
-0.0135,-0.0077,0.0707
-0.0154,-0.0533,0.042075
0.000325,-0.017425,-0.017625
0.0114,0.00685,-0.0372
-0.0039667,0.0206667,-0.0023333
-0.00192,0.02148,0.02152
0.001925,0.014925,0.0198
0.01335,0.0035,0.04575
-0.0027,-0.0033,0.008775
-0.0183,0.0163,0.0182
-0.003625,-0.00995,0.065
0.0017,-0.031025,0.02885
-0.0209,-0.027625,0.0043
-0.0286,-0.017425,0.013875
-0.026175,-0.011975,0.001125
0.000825,-0.0154,-0.048675
-0.000975,0.0143,-0.067325
0.009,0.029325,-0.03425
-0.002425,0.025575,-0.0236
-0.013,-0.000375,-0.037075
-0.0188,-0.0227,-0.05965
