accx,accy,accz
0.7314,-2.1237,0.3709
1.0550333,-3.6166,0.4369333
0.68355,-3.3478,-0.50115
-0.23655,-0.94135,-1.8016
-0.6376,2.72195,-2.98715
-0.7324,6.3055,-3.2458
-0.8258,10.7438667,-1.6806333
1.1796,11.12425,1.09935
-0.52355,5.0,0.02795
-0.413,0.3973,1.3321
-0.60635,0.1377,2.67055
-1.2433,-0.0402,2.7479
-1.9396,0.470525,1.854725
-1.6333,2.38975,0.0373
-1.0419,3.1433,-0.4092
-0.49925,3.1045,-0.42435
-0.0582,2.6467,-0.2993
-0.051375,1.0534,0.1242
-0.3148,-1.2859,0.32795
-0.505,-2.43435,-0.1236
-0.4809,-3.3036,-0.59215
-0.4875,-3.8801,-1.0532
-0.67255,-3.5561,-2.0243
-1.26175,-3.03925,-2.5528
-1.509825,-3.313375,-1.446875
-1.55775,-4.3021,-0.37155
-1.4769,-4.13365,0.32725
-1.5106,-3.2472,0.5868
-1.12655,-1.86215,0.4533
-0.64215,-0.5575,0.19455
-0.47865,0.0005,-0.2671
-0.2844,0.2995,-0.42925
0.16225,1.5303,-0.95215
0.6104,2.984,-1.647
1.6144667,5.2314,-2.5025333
2.9328,7.66335,-2.08455
2.45805,7.7724,0.0495
1.4987,5.36755,1.73245
0.28395,0.9418,1.56245
-0.2355,-1.7069,1.8191
-1.0572333,-1.2771,1.8187
-0.7958,0.451,1.4869
1.17715,1.59355,0.66825
2.19455,3.71675,-0.5324
2.2454,4.9918,-1.038
1.9237667,4.4407667,-0.7390333
1.59965,1.29465,-0.27095
0.88255,-1.70295,-0.2967
0.07385,-3.2499,-0.6298
-0.43655,-3.86875,-0.96065
-0.3079,-3.70825,-1.0958
0.3618,-3.0932,-1.37
1.01085,-2.39835,-1.7142
1.2163,-1.9101,-1.9557
1.15565,-1.6394,-2.136
0.7634,-1.9404,-2.0439667
0.049,-3.146,-1.44285
-0.57695,-4.52305,-0.9321
-0.46865,-5.3347,-0.6229
0.2045,-4.83965,-0.12965
1.2415,-2.9978,0.61675
2.24975,-0.89245,1.24965
2.876,1.34415,1.1138
1.9248,2.956,0.06835
-0.291925,0.451075,-0.54035
-2.0504,-1.9904667,-0.4114
-1.68915,0.3891,-1.09125
-0.0927,3.8478,-1.4485
0.6757,7.9931,-1.7646
1.7307667,9.7426667,-1.0108
0.02425,5.19375,0.9587
-1.38835,0.7524,0.99775
-0.85545,0.0789,0.5219
-0.23495,2.945325,1.07985
-0.4286,3.88255,0.71455
-0.2916,2.6626,0.01375
0.2368,1.1849,-0.4379
0.7247667,-0.5121,-0.8070667
1.14675,-1.8516,-0.91285
1.04975,-2.2556,-0.8589
0.32445,-2.40295,-1.16585
-0.3715,-2.4843,-1.4139
-0.9897333,-2.6063667,-1.6390333
-1.508,-2.81605,-1.7762
-1.59845,-3.01855,-1.93015
-1.41795,-3.4496,-1.9021
-1.3536,-3.9638,-1.5661
-1.1803,-4.7642,-1.4256667
-0.9033,-5.38305,-1.1326
-0.79095,-4.621,-0.39195
-0.43775,-2.38,0.2162
-0.17655,1.02735,0.09095
0.1674,4.30355,-0.653
0.33255,5.0535,-1.1616
0.4429,2.6519,-1.0736
0.79545,-0.2302,-0.79925
1.35495,-1.7708,-0.6532
1.4828,-1.28035,-0.79465
1.1124,0.98715,-0.576
1.0438,4.35125,0.4383
1.1375,7.3794,1.4062
0.7558,8.4939,1.1646
0.468,6.0957,0.4204
-0.31255,2.4968,0.8819
-0.5299,-0.6899,1.99705
0.8667,-2.2816,2.23575
1.9872,-1.99735,1.15555
2.2843,-0.04095,0.4098
1.89455,2.43215,-0.50945
0.1885,4.1622,-0.99115
-0.12415,3.67055,-1.05975
0.20485,1.5565,-0.85925
0.1279,-1.0762667,-0.7958667
-0.2139,-2.9563,-0.99315
-0.44195,-3.6994,-1.24725
-0.4408,-3.7089,-1.35025
-0.251,-3.3146,-1.5326
0.27968,-2.22338,-2.38442
0.38575,-2.16595,-2.96395
0.5337,-3.49285,-2.1821
0.7043,-4.58315,-1.19095
0.7066,-4.8978,-0.3001
0.6292,-4.88025,0.445
1.3281667,-4.2158,1.2285333
1.41505,-1.99925,1.004
0.59365,0.1854,0.1249
-0.1461,1.2717,-0.5535
-0.68695,1.48895,-0.9133
-0.9843667,0.1851667,-0.6213333
-1.05405,-0.55765,0.0693
-0.2962,0.7278,0.24825
0.9991,4.42085,-0.86995
1.16905,7.4391,-0.95925
2.3742,5.17755,0.0542
1.9366,3.4145,0.78435
-0.83705,3.811525,1.0401
-1.56425,4.4775,0.7825
-1.0311,3.88815,0.29945
-0.59725,2.2963,-0.06085
0.0419,-0.220375,-0.47255
0.99065,-1.54095,-0.6865
1.2174,-1.6408,-0.7752
0.83375,-1.43445,-0.8786
-0.0925,-1.29895,-1.06755
-0.8835,-1.3871,-1.2844
-1.4936,-1.8164333,-1.4577
-1.4559,-2.44405,-1.4903
-1.0359,-2.62465,-1.469
-0.5425,-2.22055,-1.44175
-0.2984,-1.7644,-1.5666
-0.3808,-1.5415,-1.5450667
-0.74025,-1.59125,-1.32645
-0.9212,-2.28515,-1.09375
-0.888,-3.0561,-0.8539
-0.8410667,-4.0326,-0.5966667
-0.94775,-4.5598,-0.30485
-1.12675,-4.0318,-0.29715
-1.4526,-2.81535,-0.5163
-1.49825,-1.15855,-0.51195
-0.9389,0.38995,-0.2023
0.1975333,1.5173667,0.2364333
0.91475,2.5781,0.10775
0.4369,3.1001,-0.1386
0.5136,3.6336,-0.6527
0.57775,5.3034,-0.2668
2.0682,7.377,2.5379
3.51765,8.11335,2.43025
4.8789,7.3281,0.9929
4.8103,5.7263,0.9403
1.753875,2.248825,2.14425
-1.32965,0.08005,1.79825
-1.708,-1.6577,0.96235
-1.8386,-2.54595,-0.1102
-1.36815,-2.0586,-0.7581
0.35195,-0.7697,-0.5369
1.3798,-0.0252,-1.13765
1.63235,-0.2791,-2.28335
1.68995,-1.20705,-2.44025
1.52125,-2.14365,-2.15905
1.491075,-2.79755,-1.440075
1.4182,-2.54205,-1.05465
1.1298,-2.19845,-0.94965
0.7524,-2.4123,-0.69775
0.12135,-3.1758,-0.68265
-0.278,-3.5441,-0.49335
-0.61515,-3.7673,-0.4201
-0.0126,-3.875625,-0.211825
2.1654,-2.4483,0.6031
2.9387,-0.60885,1.3984
3.1882,0.85345,1.98315
2.3239,1.7156,1.7798
0.4840333,1.3459,1.5479333
-1.7429,-0.66695,1.25495
-3.10935,-2.2191,0.4897
-2.9652,-2.57515,-1.0676
-1.7365,-0.8006,-2.85955
0.011,1.3239,-3.8139
2.9142667,6.9396667,-4.8930667
5.39695,11.02215,-1.1172
4.97225,10.60185,1.87135
-0.1705,6.484,0.9619
-4.47015,4.3962,1.08735
-2.9471,5.165,2.37725
-1.95405,3.08595,2.93865
0.0179,0.62965,1.4732
1.3051,-0.5173,0.4021
2.40415,-1.343475,-0.128325
2.4155,-1.8134,-0.545
1.4363667,-2.0397,-0.8706333
0.45375,-2.49145,-0.97495
-0.3022,-2.5769,-1.173175
-0.05025,-2.19715,-1.40895
0.6089,-1.38425,-1.60315
1.083,-0.9288,-1.5708
1.3964,-1.0627,-1.3517
0.720275,-1.416475,-0.539625
-1.1021,-1.1718,0.0486
-1.2302,-0.3589,0.55675
-1.3005,0.627,1.19745
-1.49685,1.2065,1.6401
-0.8511,1.124,1.8439
-0.2095,0.245,1.78095
0.03855,-0.72135,1.9199
0.64665,-0.93445,1.4916
1.20375,-0.22665,0.55035
1.367475,1.819325,-1.7854
1.30805,4.3781,-3.98915
1.7793,4.4136,-4.3759
2.69245,3.0204,-3.2134
2.914975,-0.254125,-1.668125
2.6536,-2.9976,-0.43515
1.85395,-2.73325,-0.5012
0.9515,-1.5533,-0.6487
0.0812,0.6877667,-0.8238
-0.14105,2.5754,-0.81275
-0.0413,2.27965,-0.53705
0.68175,0.55865,-0.2714
1.2461,-0.9445,-0.1817
1.8215,-2.4766333,-0.3061333
2.4361,-3.49805,-0.58875
2.0487,-3.35205,-0.8024
1.68305,-2.60165,-0.9636
1.4884,-1.9425,-1.0411
1.3194333,-1.3375667,-0.7866333
0.76745,-1.06615,-0.5024
0.36135,-0.714,-0.12985
0.0939,-0.64615,0.3641
0.34245,-0.69445,1.0497
0.4219,-0.6787,1.5535
0.34105,-0.46935,1.8437
0.2582667,0.3915,1.5943667
0.51135,1.5265,0.92675
0.54365,1.98905,0.8129
0.3416,1.8106,0.9641
0.1512,1.0373,1.2951667
0.0726,-0.0148,1.34
0.747,0.1058,0.5014
2.46885,1.2401,-0.82955
3.1467,2.1144,-1.8327
2.9895667,2.4875,-2.3759
1.9719333,0.9470667,-2.8166333
0.1925,-0.6914,-3.2053
-0.75165,-1.56435,-3.50015
0.16624,-0.40332,-3.25462
2.60385,2.87785,-1.1781
3.656,3.7775,-0.3153
3.5621,3.1301,-0.181
