accx,accy,accz
1.2414,-3.7681,-0.4160667
1.5425,-3.0759,-0.4021
1.0479333,-2.2241667,-0.3902333
0.17955,-1.4239,-0.251
-0.1017,-1.0168,0.01
0.05805,-0.81525,0.1781
0.360625,-1.0093,0.463225
0.36845,-1.16635,0.69505
0.19665,-1.04665,0.93755
0.0158,-1.0074,0.9999
-0.0801,-0.92465,0.94165
0.0665,-0.7723,1.2053
0.17215,-0.50075,1.6914
0.142,-0.3985,2.2087
0.0301,-0.0992,2.5542
-0.48235,1.03765,2.099075
-0.41255,3.3958,0.9674
0.2619,6.2356,0.1676
0.51055,7.3935,-0.9486
0.6348,3.66995,-0.96725
0.33565,0.9839,-0.9221
0.3373,0.08015,-1.2346
-0.0773,-0.1859,-1.9884
-0.5782,0.25295,-2.7446
-0.6807,0.97305,-2.5222
-0.73495,1.14605,-1.60195
-0.587,0.6065,-0.89435
-0.3562,-0.1361,-0.3089
-0.16115,-0.69905,-0.17345
0.19245,-1.28595,-0.44485
0.41905,-2.08615,-0.4381
0.2781,-2.87935,-0.2383
-0.17515,-3.3963,-0.3021
-0.6258,-3.5124,-0.4487
-1.06964,-3.23496,-0.58652
-0.90735,-2.50485,-0.63025
-0.6129,-2.0521,-0.58395
-0.443,-1.8679,-0.5796
-0.2653333,-1.6913333,-0.4294
-0.08765,-1.5501,-0.0752
-0.1134667,-1.2983667,0.1817667
-0.0898,-0.9395,0.4144
-0.0023,-0.795,0.5375
0.0336667,-0.29445,0.7097
-0.4549,-0.1748,1.03765
-0.581,-0.57,1.1287
-0.6984,-0.8066,1.0841667
-0.38225,-0.65445,1.1504
0.02525,-0.26895,1.4872
0.0994,0.07505,1.8798
-0.12135,0.4505,1.81965
-0.5029,1.266,1.4397
-0.3993,3.2214667,1.2518667
0.6873,5.7788,0.30135
1.00615,6.04005,-0.25815
0.0713,5.0146,-0.1893
-0.3032,4.0941,-0.2926
0.4446,2.7449333,-1.2969
1.08965,1.1456,-2.25575
1.25415,-0.3745,-2.0975
0.9028,-1.4721,-1.79335
0.5334,-1.4723,-1.6979
0.2435,-0.4748333,-1.5622667
0.01345,-0.041,-1.22945
-0.0008,-0.6762,-0.57275
-0.10855,-1.2906,0.09465
-0.2216,-1.5301,0.2664
-0.3795,-1.6046,0.14015
-0.2464333,-1.9939333,0.1459
0.0314,-2.8408,-0.06885
-0.0816,-3.23615,-0.3337
0.02415,-3.4263,-0.4991
0.4492,-3.5467,-0.3736
0.7707333,-3.2505333,-0.2203333
0.57035,-2.32915,-0.49875
0.50035,-1.4093,-0.5474
0.10175,-0.5799,-0.2524
-0.2935,-0.1498,0.2202
-0.3446,-0.0946333,0.6702667
0.03885,-0.566,0.89395
0.24335,-1.0036,0.9276
0.29915,-1.23925,0.84385
0.2875,-1.2194,0.7583
0.1002333,-0.9538,0.6053667
-0.13065,-0.80095,0.45525
-0.11455,-0.90445,0.5928
-0.1936,-1.2297,0.81525
-0.32625,-1.4895,1.20215
-0.3829,-1.26265,1.7379
-0.50955,-0.5983,2.231
-0.4621333,0.8970333,2.0963333
0.3655,2.5793,1.4526
1.1459,4.74505,1.36065
1.19,7.3474667,0.8609667
0.6166,5.8258,-0.7279
0.4117,4.047,-1.4133
0.1312333,2.1369,-1.7267
-0.1037,0.5606,-2.4592
-0.3261667,-0.4005,-3.2814333
-0.34395,-0.6215,-3.322
0.09715,0.1392,-2.30065
0.22775,0.66745,-1.2738
0.1392,0.5514,-0.8108
0.0331333,0.1621,-0.7443
0.2439,-0.2555,-0.67535
0.6121,-0.6151,-0.4953
0.5711333,-1.2102,-0.2715333
-0.428925,-2.127225,-0.3978
-1.05845,-2.7054,-0.7701
-0.95185,-3.09665,-0.98455
-0.5893,-3.311,-1.00745
-0.17835,-3.206775,-0.832875
-0.0621,-2.8803,-0.62545
-0.0505,-2.4843,-0.41905
-0.1831,-1.83145,-0.17945
-0.64385,-0.693,0.2989
-0.57875,0.16925,0.764
-0.0363,0.28525,0.7311
0.6102,-0.0127,0.38165
0.6836,-0.411,0.4654
0.2275,-0.7020667,0.6963333
-0.00785,-0.9657,0.5941
0.41935,-1.02735,0.5847
0.7005,-1.04335,0.8359
0.6118,-1.0591,1.2979
0.35755,-0.9218,1.7445
0.0246333,-0.3174667,1.8268667
-0.30985,0.4564,1.323
-1.20305,0.96965,0.98195
-1.2365,1.8401,0.8485
-0.2014667,4.0479667,1.0411333
1.24415,6.61275,1.1883
0.97865,6.5173,0.7261
-0.42395,5.0217,-0.2352
-0.6252,4.2581,-0.9531
-0.1827,3.0025,-1.9853667
0.15375,0.91975,-2.7148
0.45495,-0.8313,-2.4421
0.81975,-1.65095,-2.1462
1.1989,-1.5516,-1.9572
1.5924,-1.1227,-1.2704333
0.7803,-1.2017667,-0.0591333
-0.27275,-1.29275,-0.3901
-0.80895,-1.2592,-1.3073
-0.9966,-1.5305,-1.662
-0.76452,-3.02206,-1.0393
-0.24975,-4.74285,-0.64235
-0.0005,-4.9653,-0.8797
0.3674333,-4.2412,-0.9839667
0.435875,-2.254325,-0.6803
0.041,-0.6823,-0.6518
0.0116,0.4664,-0.4106
0.149,1.42475,0.4586
