accx,accy,accz
0.0200333,-0.0092,-0.1326333
0.05335,-0.02835,0.0974
-0.02855,-0.01535,0.2135
-0.0456,0.0238,0.09935
5e-05,0.0247,-0.09245
0.0451,-0.02175,-0.12645
0.0332,0.00965,0.04505
0.0259,0.04735,0.1197
-0.0435,0.0132,0.04595
-0.0956,0.01995,0.0059
-0.06065,-0.0329,0.0366
0.0404,-0.0681,0.0933
0.0877,-0.02395,0.0575
0.0548,0.01365,-0.02375
-0.00655,-0.00175,-0.004
-0.04785,-0.02205,0.03725
-0.06335,-0.0058,0.023
-0.0157,-0.03705,-0.0152
0.02615,-0.03925,-0.00535
0.01805,0.0116,0.0119
0.0267,-0.03055,0.09155
0.02455,0.00565,0.05385
0.02935,0.07635,-0.03515
0.0241,0.0432,-0.0831
0.0307,-0.00185,-0.0551
0.04525,-0.04055,0.067
0.03915,-0.0577,0.1626
0.02365,0.00485,0.0786
-0.04795,0.0709,-0.0053
-0.0367,0.0225,-0.13515
0.0161,-0.02765,-0.01895
0.04395,-0.07345,0.12525
0.02335,-0.0321,0.1182
-0.0596667,0.0159333,-0.0205333
-0.0419,0.0105,-0.0421
0.04415,-0.0322,0.02085
0.035,-0.00395,0.0719
0.1061,-0.01045,0.0449
-0.0191,-0.0174,0.03445
-0.02335,-0.02845,0.07285
-0.0041,-0.0106,0.0491
-0.0009,0.0196333,0.0102333
0.02345,0.04385,-0.02065
0.00875,0.02835,0.02375
0.0328,-0.0221,0.0482
0.008,-0.0644667,0.0548
-0.0105,-0.072,0.05
-0.0042,-0.05065,-0.0021
0.0341,-0.027,0.0049
0.0186333,-0.0228667,0.0107667
0.0018,-0.0387,0.0848
-0.0202667,0.0254667,0.0513
-0.0736,0.07435,0.10175
-0.05615,0.01755,0.22105
0.0082,0.0507,0.09765
0.052,0.0962,-0.0011
0.0571333,0.0577,-0.104
0.04255,-0.00725,-0.0707
0.029,-0.01665,0.06355
0.04425,-0.06,0.1035
0.0439,0.00525,0.1203
0.0113,0.04005,0.15715
-0.05125,0.02795,0.1049
-0.0499,0.02545,0.05085
-0.0429,-0.0054,0.02945
0.0351,-0.0804,0.0291
0.0268,-0.0715667,0.0265
0.0041,-0.02665,0.0341
0.09955,-0.01515,0.08855
