accx,accy,accz
-0.0783,-0.0530333,-0.1412667
-0.02945,-0.0423,-0.04615
-0.01145,-0.14995,0.00375
-0.0104,-0.2389,0.00495
-0.0026,-0.25015,-0.01505
0.0116,-0.23415,-0.0307
-0.00275,-0.2366,-0.05645
-0.0179,-0.21015,-0.08725
-0.019,-0.0891,-0.06255
0.0126,-0.08605,-0.0515
0.0179,-0.0604,-0.0878
0.0125,-0.08405,-0.12565
-0.01175,-0.1481,-0.14325
-0.0127,-0.1532,-0.12315
-0.00605,-0.1626,-0.1101
0.01655,-0.23015,-0.1121
-0.0269,-0.16665,-0.1033
-0.02345,-0.1073,-0.1091
-0.0094,-0.12505,-0.08275
-0.01455,-0.15205,-0.0669
-0.0178,-0.20995,-0.139
-0.0039,-0.216,-0.1379
0.01665,-0.12125,-0.1059
0.01205,-0.0671,-0.07935
-0.01085,-0.0847,-0.1094
-0.0355,-0.17275,-0.11775
-0.0278,-0.20605,-0.0987
-0.0333,-0.19485,-0.0679
-0.0393,-0.16395,-0.0505
-0.0236,-0.1589,-0.0477
-0.0037,-0.15885,-0.0665
-0.011,-0.16115,-0.04865
-0.002,-0.16915,-0.06135
-0.01485,-0.15935,-0.07705
-0.02435,-0.20465,-0.0501
-0.04375,-0.21955,-0.0306
-0.03775,-0.14775,-0.03495
-0.04585,-0.08035,-0.05855
0.0238333,-0.125,-0.0948
0.03875,-0.1115,-0.01865
0.031,-0.1355,-0.0803
0.0157333,-0.1338333,-0.1718333
0.0024,-0.15395,-0.0932
-0.01205,-0.2067,-0.07605
-0.0041,-0.2211,-0.082
0.0325333,-0.2101667,-0.0550333
-0.0127,-0.1552,-0.01225
-0.0096,-0.121,-0.0528
-0.0338333,-0.1534667,-0.0657667
-0.0396,-0.19905,-0.0583
-0.02455,-0.18565,-0.0508
0.0086,-0.1897,0.0002
0.0145,-0.19645,0.00515
0.02255,-0.16765,-0.04335
0.03285,-0.13015,-0.05725
0.02915,-0.07675,-0.0736
0.0299,-0.10325,-0.0919
0.0165,-0.1473,-0.0797
-0.00395,-0.1987,-0.04695
-0.014,-0.21315,-0.02195
-0.0487,-0.22135,-0.01315
-0.07035,-0.1862,-0.0078
-0.08725,-0.11055,-0.0621
-0.05695,-0.0783,-0.0961
0.01325,-0.1708,-0.11515
0.05645,-0.28825,-0.03405
0.03185,-0.26515,-0.01045
0.0265,-0.1682,-0.0757
0.04965,-0.0697,-0.1313
0.03525,-0.0208,-0.12635
0.0079,-0.00185,-0.0721
0.02595,-0.12945,-0.1311
0.0547,-0.20395,-0.1228
0.0779,-0.20745,-0.07245
0.0588,-0.1575,-0.05165
0.05255,-0.0919,-0.0139
