accx,accy,accz
-0.03846,-0.01544,-0.23484
-0.047425,0.0192,0.0086
-0.083775,-0.012975,0.048875
-0.0854,0.014375,0.045575
-0.02364,0.00894,0.02234
0.0412667,0.0069,-0.0243667
0.0582,0.00536,-0.04294
0.050775,-0.00655,-0.044275
0.013475,-0.005875,-0.046275
0.044675,0.01575,-0.04865
0.146725,-0.007125,0.051525
0.1666,-0.007425,0.14885
0.123825,-0.0136,0.052925
0.064175,-0.053825,-0.0982
0.017425,-0.041375,-0.06325
-0.058025,0.02035,0.024375
-0.102675,0.0615,-0.062425
-0.097125,0.07145,-0.083625
-0.0851,0.01195,-0.03895
-0.072675,-0.015175,-0.006975
-0.02125,-0.02915,0.036275
-0.017125,0.00175,-0.0425
-0.073275,0.04275,-0.103225
-0.0954,0.015875,0.03325
-0.114825,-0.056,0.07165
-0.09876,-0.0361,-0.00506
0.0135,-0.0035667,-0.0161667
0.11192,0.0352,-0.02346
0.102275,0.03495,0.00075
0.064025,-0.00045,0.058
0.028375,-0.029825,0.105075
-0.001625,-0.024625,0.108525
-0.0458,-0.043025,0.08015
-0.118725,-0.04825,0.0123
-0.122475,-0.022675,-0.003325
-0.07085,0.02445,0.051375
-0.007675,0.013575,0.02295
0.051675,0.012,-0.0118
0.079125,0.01465,-0.01325
0.032475,-0.0094,0.026225
-0.053775,-0.050375,-0.013625
-0.0437,0.00915,-0.063725
0.0465,0.053425,-0.05105
0.105125,0.046,0.024425
0.0684,-0.009,0.076525
-0.00625,-0.10125,0.11935
-0.055425,-0.139075,0.148375
-0.05064,-0.16446,0.14202
-0.0665,-0.11875,0.102825
-0.076925,0.008775,0.012275
-0.05405,0.095,-0.07815
-0.023375,0.167575,-0.1291
-0.0057,0.13955,-0.049975
-0.022025,0.0857,0.05125
0.03855,0.030625,0.01315
0.13395,-0.022325,0.056125
0.14745,-0.094775,0.1326
0.06505,-0.125975,0.081375
-0.011325,-0.0766,-0.00405
-0.081525,0.0067,-0.012925
-0.12095,0.10815,-0.03625
-0.086825,0.143075,-0.068425
0.031275,0.096375,-0.07025
0.079825,0.05375,-0.056925
-0.00235,0.019175,0.0038
-0.097625,-0.04405,0.063375
-0.08605,-0.087625,0.05785
0.023275,-0.06055,0.04845
0.10525,-0.0055,0.030725
0.088,0.00432,-0.01194
0.009375,0.01265,-0.0742
-0.02615,0.025925,-0.093525
-0.0496,0.0216,-0.084375
-0.060275,-0.00265,-0.0391
-0.0784,-0.017525,0.031825
-0.07935,-0.01995,0.09585
-0.0505,-0.036625,0.077575
-0.04465,-0.02915,0.023325
-0.024525,0.01755,-0.04
0.0096,0.0259,-0.0625
0.037225,-0.021725,-0.094125
0.03195,-0.037175,-0.062775
0.0428,-0.027225,-0.02935
0.067075,0.00395,-0.01025
0.037125,0.027125,-0.0169
0.021275,0.02565,0.009475
-0.0156,-0.0241,-0.0032
-0.079775,-0.035775,-0.029
-0.08155,-0.014025,0.07645
-0.02994,0.02406,0.11862
0.028425,0.023825,-0.009125
0.052625,-0.0144,-0.125975
0.0277,-0.025875,-0.1615
-0.0682333,0.0282333,-0.1497333
-0.04046,0.08092,-0.14642
0.06375,0.0899,-0.120325
0.122425,0.031275,-0.07685
0.085575,-0.0232,-0.05105
0.006925,-0.029875,-0.015425
-0.044475,0.00745,0.034275
-0.033425,0.01595,0.02895
-0.05095,-0.00375,-0.01675
-0.01625,-0.01895,-0.0442
0.0041,0.004275,-0.0165
0.038925,0.01375,0.005625
0.031525,0.0076,-0.007225
0.02455,-0.00525,-0.028825
0.023775,0.02035,-0.020875
0.0171,-0.003475,-0.0046
5e-05,-0.024875,0.01015
-0.00435,-0.000225,-0.00275
-0.01092,0.00126,-0.0212
-0.002075,-0.003275,-0.01215
0.0055667,-0.0464333,0.0018
0.06484,-0.04094,0.00554
0.100025,-0.00155,0.01065
0.11405,0.001525,0.0147
0.09885,0.0195,-0.039675
0.0516,0.062,-0.0983667
0.03126,0.04176,-0.06126
0.03695,-0.048375,0.0361
0.023725,-0.06915,0.062875
0.013625,-0.022275,-0.003625
-0.008825,0.01815,-0.023475
-0.070625,0.029975,-0.04455
-0.08545,0.056675,-0.097025
-0.07415,0.080975,-0.071775
-0.017175,0.041575,0.011175
0.01675,-0.05235,0.062575
-0.006,-0.080825,0.0705
-0.008575,-0.067075,0.098075
0.005125,-0.04185,0.11935
-0.01114,-0.02094,0.07988
-0.03905,-0.013075,0.0464
-0.0823,-0.00385,0.03035
-0.07565,0.000575,0.01005
-0.067575,0.0379,-0.0014
-0.024625,0.0458,-0.00335
0.018175,0.03655,0.0097
0.034975,0.0154,0.01025
0.032925,0.0092,-0.00945
0.0246,0.018725,-0.0214
-0.002925,0.0019,0.002075
-0.017275,-0.0094,0.0186
-0.034475,-0.015025,0.015425
-0.0716333,-0.0360333,-0.0012667
-0.07192,-0.05108,0.00154
-0.037675,-0.01505,0.0083
0.00325,0.0152,0.020525
0.030125,-0.008325,0.0171
0.0352,-0.02135,-0.0012
-0.0143,0.034325,-0.058775
-0.043925,0.05195,-0.04855
-0.02348,-0.00582,0.0012
0.018825,-0.059325,-0.008575
0.021525,-0.024775,-0.03835
-0.01045,0.017475,0.0011
-0.0548,0.0136,0.033475
-0.048625,0.027625,0.0026
-0.014025,0.026925,-0.00335
0.004475,0.00745,0.042275
0.0146,-0.015,0.0505
0.0109,-0.012625,0.0347
0.014425,-0.001625,0.00465
0.00145,0.005125,-0.011325
-0.0220333,-0.0093,-0.0397333
-0.02112,0.00278,-0.03912
-0.00215,0.05655,-0.024875
0.0281,0.033125,-0.0634
0.0197,0.015925,-0.092925
-0.0107,-0.00065,-0.039825
-0.01995,-0.01055,0.002225
-0.0189,-0.01565,-0.005375
-0.025725,-0.00485,-0.054175
0.00565,0.014975,-0.081825
0.021625,0.0219,-0.07015
0.02624,0.01266,-0.0402
0.0404,-0.02395,-0.0077
0.03255,-0.043225,0.00475
0.001075,-0.051,0.0065
0.0042667,-0.0217,-0.0067667
-0.01586,0.00446,0.00266
0.001325,0.0241,0.023075
