accx,accy,accz
0.0078667,-0.2286333,-0.1755667
0.13795,-0.26715,-0.11285
-0.22715,-0.19355,-0.0727
-0.2565667,-0.0855667,-0.1398333
-0.093,-0.0257,-0.1303
0.06915,-0.1107,-0.15805
0.1774,-0.2429,0.18105
0.2386,-0.2463,0.0519
0.1983333,-0.1933333,0.0761667
0.00555,-0.1756,0.0171
-0.1695,-0.1686,-0.1891
-0.12235,-0.1194,0.0981
0.09315,-0.11235,0.1106
0.1403,-0.197,0.0242
0.05375,-0.31195,-0.1705
-0.15995,-0.36435,-0.41125
-0.36415,-0.25595,-0.55135
-0.44525,0.0,-0.50095
-0.23355,0.14635,-0.2726
0.0908,-0.0471,0.0083
0.2396,-0.2721,-0.02725
0.177,-0.32115,0.0196
-0.08685,-0.2359,0.0513
-0.30715,-0.20505,-0.05395
-0.2611,-0.2237,-0.101
-0.031475,-0.185575,0.103725
-0.10675,-0.2012,0.1555
-0.1743,-0.2479,0.11
-0.1291,-0.3019,0.0858
0.00465,-0.28885,0.31085
0.1568,-0.24965,-0.0883
0.2307,-0.02295,-0.43265
0.2433,0.16485,-0.381
0.2365,0.10095,-0.5059
0.0541,0.1208,-0.4405
0.1484,-0.4929333,-0.5089333
-0.15085,-0.36675,-0.22185
-0.1681,-0.0924,0.2661
-0.07485,-0.02785,0.1926
-0.0234,-0.128,0.0093
0.1149333,-0.2627,-0.1055333
0.19495,-0.33895,-0.0258
0.11625,-0.23455,0.05405
0.0447,-0.1388,0.1066
0.0745,-0.17375,0.0202
0.0729,-0.27785,-0.00795
0.0367,-0.2845,-0.02405
0.0608,-0.21005,-0.08445
0.01355,-0.1474,-0.11945
-0.103,-0.12265,-0.02025
-0.0571,-0.16515,-0.0117
0.1323,-0.2436,0.01955
0.17015,-0.2274,-0.06595
0.0612,-0.2335333,0.0446667
-0.05335,-0.1669,-0.29035
-0.04905,-0.1653,-0.0119
-0.0002,-0.19785,0.01305
0.0394,-0.2084,-0.0549
0.0807667,-0.1859333,-0.0917667
0.0143,-0.1631,-0.0751
-0.0627333,-0.1721333,-0.0246333
-0.02265,-0.19475,-0.16435
0.07705,-0.1837,-0.18065
0.081,-0.15575,-0.04635
0.0624,-0.1632,-0.0638
0.0663667,-0.1963,-0.0735
0.02745,-0.2137,-0.0355
-0.0481,-0.2255,0.0313
-0.04065,-0.209,0.0476
0.05365,-0.1957,0.00785
0.0871,-0.19335,-0.00265
0.10475,-0.21195,0.0692
0.02355,-0.22075,0.10215
-0.09035,-0.1902,0.08775
-0.1671,-0.1957,0.096
-0.1037333,-0.2021333,-0.0274333
0.00555,-0.18335,-0.1561
0.10725,-0.20275,0.02285
0.07185,-0.1736,-0.1853
0.0509,-0.10795,-0.01195
-0.05485,-0.18105,0.0064
-0.0787,-0.25885,-0.028
0.04005,-0.1958,-0.0592
0.03815,-0.129,-0.13555
-0.0226,-0.142,-0.1534
-0.00045,-0.1817,-0.07465
0.05965,-0.18345,-0.0702
0.09335,-0.15665,-0.0128
0.08205,-0.14495,-0.14995
0.10505,-0.14895,-0.1622
0.03425,-0.15085,-0.07525
-0.0128,-0.1702,-0.0245
-0.01425,-0.19165,-0.01195
0.05885,-0.2165,-0.0303
0.0542,-0.1861,-0.0669
0.0443,-0.1421,-0.10225
0.06925,-0.12985,-0.18645
0.07975,-0.14305,-0.1518
0.0363,-0.19305,-0.0432
0.0115,-0.2412,0.0471
0.0427667,-0.184,-0.0651
0.1379,-0.1629,-0.0358
0.11375,-0.17685,-0.18805
0.06885,-0.12225,-0.23445
-0.0088333,-0.1345333,0.0522
-0.0336,-0.2272,0.14985
0.06555,-0.237,-0.0195
0.0889,-0.1826,-0.152
0.0831,-0.1287,-0.1894
0.0847333,-0.139,-0.1444333
0.0416,-0.1596,-0.00735
0.0513,-0.16495,0.00155
0.12115,-0.1805,-0.1622
0.10445,-0.17765,-0.149
-0.0112,-0.1675,-0.0702
-0.0548333,-0.1723,-0.0538
0.01565,-0.1996,-0.0494
0.0299,-0.1791,-0.0775
-0.01435,-0.15855,-0.1005
-0.0478,-0.1643,-0.1015
0.0127,-0.2024667,-0.0974
0.06645,-0.2161,-0.0193
-0.0256,-0.17285,0.01745
-0.09925,-0.16435,-0.05475
-0.0581,-0.1669,-0.0803
0.0281667,-0.1951,-0.0502333
0.0165,-0.1905,-0.02685
0.0299,-0.1652,-0.0598
0.086,-0.18245,0.00575
0.0116,-0.1596,-0.2438
-0.0091333,-0.1450667,-0.0873333
-0.01275,-0.2213,-0.00235
0.06495,-0.2251,-0.03195
0.11775,-0.18315,-0.10495
0.01565,-0.11835,-0.07175
-0.047,-0.1616,-0.05935
-0.01395,-0.2336,-0.0889
0.0556,-0.22545,-0.02535
0.05585,-0.1641,-0.00375
0.01865,-0.1519,-0.1171
-0.0227,-0.18025,-0.092
-0.0768,-0.21655,-0.037
-0.04455,-0.2306,-0.0548
0.0496,-0.1907,-0.0555
0.0622,-0.15195,-0.02675
0.00145,-0.17515,0.0058
-0.03485,-0.2319,0.04735
-0.00955,-0.21415,0.0355
-0.0328,-0.1959,-0.00915
-0.0125,-0.1824,-0.04555
0.0453,-0.19035,-0.08225
0.01995,-0.1988,-0.06905
0.00605,-0.1741,-0.0939
-0.00605,-0.161,-0.09025
-0.02075,-0.15405,-0.1546
-0.04265,-0.1509,-0.08215
0.0449667,-0.2042333,-0.0053
0.0306,-0.1558,-0.28255
-0.0058,-0.1559,0.0185
-0.0685667,-0.2069,0.0131
-0.01645,-0.1839,-0.1203
0.0471,-0.14485,-0.15045
0.0226,-0.1275,-0.0715
0.0128,-0.1811,-0.06745
0.0321,-0.20165,-0.06565
0.0302,-0.2013,0.0022
0.0399,-0.17315,-0.0161
0.0393,-0.1508,-0.0656
0.02605,-0.1709,-0.01205
0.031,-0.19905,0.00705
0.00485,-0.22565,-0.0158
-0.0128,-0.1897,-0.0515
-0.01085,-0.1431,-0.1266
0.0246,-0.15505,-0.0786
0.02785,-0.21855,-0.04285
-0.00985,-0.2194,-0.047
-0.035,-0.2197,-0.01875
-0.05905,-0.17525,-0.05015
-0.00965,-0.16665,-0.08815
0.07145,-0.2025,-0.05765
0.07785,-0.21345,-0.00155
0.07655,-0.18935,0.0567
0.03675,-0.1488,-0.10495
-0.0057,-0.14465,-0.0309
0.056,-0.2342,0.03065
0.0603,-0.21395,-0.2051
0.0687,-0.18645,0.06455
0.0494,-0.18225,5e-05
0.0912,-0.1661,-0.1082
0.12275,-0.1748,-0.0507
0.03275,-0.1667,-0.0132
-0.0633,-0.1714,-0.04385
-0.03925,-0.15655,-0.12265
0.0679,-0.1592,-0.15035
0.07585,-0.1712,-0.1044
0.02435,-0.1747,-0.1067
0.0331,-0.17965,-0.062
-0.01615,-0.17675,-0.01405
-0.0111,-0.15525,-0.06715
0.06225,-0.1717,-0.11795
0.03465,-0.195,-0.1312
-0.02685,-0.1816,-0.0691
-0.05565,-0.17625,-0.00445
-0.011,-0.177,-0.0564
-0.00025,-0.16585,-0.12985
0.03965,-0.15985,-0.12855
0.0632333,-0.1750667,-0.0806
0.04665,-0.16645,-0.0434
0.0063,-0.15035,-0.0375
-0.02255,-0.14795,-0.17745
-0.01965,-0.2041,-0.0418
0.04145,-0.23985,0.0404
0.01115,-0.1593,-0.22955
0.01225,-0.1327,0.0807
-0.00385,-0.2208,0.09215
0.04405,-0.2257,-0.11715
0.06035,-0.1604,-0.16995
0.02405,-0.11915,-0.15825
-0.015,-0.1733,-0.0899
0.0094,-0.218,-0.07035
0.03185,-0.2044,-0.033
0.0599,-0.149,-0.0286
0.02255,-0.14825,-0.05055
0.00215,-0.1873,-0.00845
0.0125,-0.1923,-0.0028
0.0208,-0.1808,-0.04155
0.00435,-0.1976,-0.0861
0.0061,-0.19595,-0.1165
0.05065,-0.15795,-0.12185
0.09045,-0.13815,-0.06825
0.0398,-0.15595,-0.0329
-0.0508,-0.17085,-0.04065
-0.0208,-0.1959,-0.0069
0.07205,-0.18115,0.00085
0.0766,-0.1453,-0.0154
-0.0188,-0.16655,-0.05355
-0.02345,-0.17815,-0.1772
-0.02325,-0.1835,-0.0304
0.0344,-0.19885,0.0209
0.0218,-0.1809,-0.3321
0.05195,-0.1455,-0.0919
0.0389,-0.19285,0.0342
0.04825,-0.20565,-0.02305
0.08095,-0.1999,-0.10505
-0.00095,-0.14095,-0.1424
-0.0546,-0.1389,-0.12245
-0.02225,-0.19305,-0.11145
