accx,accy,accz
0.03565,-0.1049,-0.0615
0.0052667,-0.0819,-0.0147
-0.0018,-0.1288,0.04445
-0.01655,-0.2141,-0.03335
-0.0082,-0.2479,-0.0544
0.0219333,-0.1767667,-0.0658
0.06065,-0.12865,-0.11005
0.0739,-0.1404,-0.1409
0.11625,-0.1875,-0.1472
0.15225,-0.22175,-0.13795
0.1793,-0.2638,-0.05735
0.15935,-0.12485,0.04575
0.0146,0.0106,-0.193
0.1410333,-0.1121333,-0.1726333
0.1524,-0.1417,-0.07275
0.0928,-0.29405,-0.15135
0.0511,-0.3352,-0.137
0.0536,-0.35615,0.1213
0.02825,-0.3483,0.003
0.0833,-0.2665,0.032
0.16495,-0.3489,0.4821
0.1652,-0.52455,0.60395
0.12775,-0.53575,0.2831
0.1922,-0.41845,0.08405
0.26995,-0.37215,0.14355
0.30585,-0.36815,0.1723
0.2955,-0.3406,0.0571
0.2303,-0.2739,0.06185
0.21645,-0.2497,0.16585
0.2289,-0.34215,0.15625
0.1903,-0.36365,0.1684
0.13125,-0.3936,0.2115
0.041,-0.55315,0.14855
-0.13205,-0.8419,0.06355
-0.4015,-1.1026,-0.03805
-0.6881,-1.03865,-0.01605
-0.8533,-0.5918,0.2055
-0.8105,-0.0822,0.4373
-0.6565333,0.7875,0.6477667
-0.40725,1.70775,0.92445
-0.08745,1.86775,0.7515
-0.33635,0.82475,0.96885
-0.76265,-0.5031,0.96535
-0.80215,-1.36555,0.77855
-0.668,-1.67505,0.6242
-0.60855,-1.7275,-0.05025
-0.4903,-1.547,-0.1817
-0.4137,-1.3743,0.0224
-0.3537667,-1.249,0.3327333
-0.3181,-1.1744,0.49855
-0.29635,-0.81375,0.43365
-0.28525,-0.26115,0.48655
-0.31855,0.18055,0.8338
-0.3085667,0.1805667,1.2971667
-0.49145,-0.25295,1.49415
-0.346,-0.3999,1.3078
-0.2145333,-0.4880333,1.2156
-0.259,-0.6759,1.2026
-0.4549,-0.7409,1.2647
-0.8766667,-0.4567,1.0842
-1.2289,0.0659,1.0677
-1.3894667,0.4235333,1.0885667
-1.3976,0.65025,1.2028
-1.318,0.5827,1.1441
-0.9355,0.81455,0.6846
-0.0207667,2.0443667,-0.3724
0.90265,2.9895,-1.37655
1.0804,3.0453,-1.5093
0.998,2.5886,-1.6258
1.0321333,0.3325667,-1.6928
1.2018,-3.1306,-1.4831667
1.09835,-2.40335,-1.3421
0.64,-0.8266,-1.0591
0.29055,0.70385,-0.95815
0.5376333,2.5065,-0.6498
1.40005,2.4414,-0.1
1.45565,-0.10025,0.28035
0.6949,-1.843,0.0389
0.10545,-2.63585,-0.31175
-0.35395,-2.7264,-0.2572
-0.5687,-2.57965,0.07165
-0.45885,-2.21835,0.6545
-0.06075,-1.49495,0.68365
0.0911,-0.8802,0.5697
0.0807,-0.5179333,0.6026667
-0.01645,-0.74715,0.74035
-0.0911,-0.95165,0.89105
-0.1905,-1.12455,0.9099
-0.22385,-0.9206,0.7651
-0.1008,-0.13945,0.61555
0.21275,0.2277,0.29105
0.3504,0.15425,0.5634
0.22275,-0.04045,1.50945
-0.1937,0.1755,2.2312
-0.88445,1.2275,1.97335
-0.65045,3.3367,0.57315
1.68625,5.3742,-0.91415
3.5273,4.34645,-1.5838
2.7637,1.9285,-1.4486
-0.07116,-1.88922,-1.95728
-2.476,-2.6163,-3.2385
-2.5554,0.14505,-2.32435
-1.60145,3.65765,-1.58745
0.5962667,4.7322333,-1.7612333
1.11875,2.11525,-1.65285
0.9056,-0.1096,-0.9582
0.5383,-2.4553,-0.5731333
-0.0592,-4.0381,-0.6584
-0.4847667,-4.8771667,-0.9652
-0.90715,-4.713,-1.34425
-1.00035,-3.21485,-1.25725
-0.9571,-1.78135,-0.921
-0.7586,-1.2525,-0.4773
-0.57915,-0.99155,0.0237
-0.8163667,-0.6549333,0.2751
-1.1089,0.08455,0.3719
-1.2458,0.47535,1.0083
-1.2925,0.688,1.3825
-1.1553,1.0862667,1.3147667
-1.4136,2.03285,0.94965
-0.4874,3.0315,1.12005
1.58975,4.19345,0.67785
2.604,4.91,-0.414
2.8434333,4.2271333,-2.4905333
2.03685,1.52715,-3.77365
1.50845,-0.5413,-3.51035
0.49395,-2.41125,-3.17485
-1.18445,-2.90455,-1.6044
-1.40205,-1.50835,-0.67705
-1.0106,1.71765,-1.4086
-0.56985,2.8293,-1.4619
0.04785,1.85095,-0.9093
0.6977,-1.350875,0.010525
0.61095,-3.39295,0.03695
0.27755,-3.42105,-0.65795
0.33265,-2.7815,-0.9103
0.472325,-2.317925,-0.4843
0.6429,-2.38035,0.158
0.61955,-2.14925,0.40025
0.29785,-1.41095,0.378
0.843,0.664175,0.665875
0.9032,2.2195,1.05565
1.4048,2.3966,1.9981
0.5344,1.886,3.2729
-1.14445,4.922025,0.864475
0.6442,4.9214333,-3.6435333
1.835,2.1333,-3.5162
0.71375,-0.5203,-3.05245
-0.51626,-3.39832,-1.14404
