accx,accy,accz
-0.0029333,-0.0943,-0.1193
0.0279,-0.0248,-0.0468
0.0145,-0.00835,-0.0075
0.026,-0.2532,0.0212
-0.00295,-0.22935,0.06005
-0.0596,-0.24225,0.0969
-0.1086,-0.2394,0.04285
-0.0759,-0.19745,0.004
0.0313,-0.1669,-0.01485
0.1253,-0.16855,0.0078
0.20155,-0.17465,0.04995
0.22045,-0.18975,-0.01335
0.18065,-0.2417,-0.08945
0.1273,-0.23295,-0.1047
0.05205,-0.20695,0.0169
-0.0393,-0.14905,0.09495
-0.126,-0.1937,0.0102
-0.17835,-0.2717,-0.05615
-0.17665,-0.32035,0.06855
-0.1126,-0.2237,0.07815
-0.03715,-0.15035,0.10995
0.0602,-0.1407,-0.0976
0.0883,-0.15395,-0.25035
0.14135,-0.24875,-0.0515
0.20015,-0.25095,-0.0259
0.2429333,-0.1999,-0.2279
0.2501,-0.1742,-0.3403
0.2285,-0.17805,-0.3057
0.2150333,-0.1119667,-0.2244
0.1446,-0.19655,-0.1021
0.1187,-0.23625,-0.18915
0.1167,-0.2455,-0.2929
0.0872667,-0.2892,-0.0794667
0.09655,-0.1387,0.07915
0.02805,-0.0962,0.0611
-0.0469,-0.12495,0.02365
-0.1011,-0.16185,-0.0549
-0.1845,-0.17965,-0.0768
-0.22725,-0.1351,-0.11325
-0.24645,0.00745,-0.11695
-0.2198,0.08625,-0.168
-0.21425,-0.00055,-0.17805
-0.22285,-0.25955,-0.0765
-0.2335,-0.36575,-0.0022
-0.2328,-0.33115,-0.06795
-0.22435,-0.1809,-0.1458
-0.30595,-0.12115,-0.1426
-0.3486,-0.14395,-0.0384
-0.43415,-0.26835,0.08625
-0.35035,-0.22735,0.0226
-0.27375,-0.05545,0.1041
-0.2673,0.0216,0.17195
-0.41885,-0.00885,0.28485
-0.48205,-0.1722,0.5726
-0.42185,-0.36605,0.5362
-0.3802,-0.3691,0.4262
-0.24425,-0.31805,0.2707
-0.0123,-0.3902,0.06795
-0.12815,-0.3746,0.01715
-0.24005,-0.4663,-0.03695
-0.2809,-0.5722,0.0855
-0.1826,-0.7523,0.14685
-0.1665,-0.67275,0.24
-0.18545,-0.3993,0.2194
-0.2786,-0.25505,0.26995
-0.28595,-0.353,0.38955
-0.2368,-0.32685,0.49045
-0.1633,-0.0716,0.50195
0.0692,0.23605,0.36775
0.41315,0.531,0.27385
0.41435,0.59575,0.1897
0.09785,0.1371,0.15615
-0.13825,-0.429,0.04825
-0.33385,-0.7429,-0.14325
-0.3432,-0.68765,-0.48505
0.0542667,-0.4619,-1.1554333
0.59995,-0.3374,-1.4027
0.80005,-0.4373,-0.98965
0.7214,-0.411,-0.6478
0.5629333,-0.0259,-0.3734667
0.5988,0.2873,-0.4326
0.5212,0.0325333,-0.3477667
0.2993,0.0056,0.1366
0.1416667,0.5767,1.0170333
0.13085,1.3844,1.32875
0.0187,1.65565,0.5358
-0.1017,1.371,-0.0159
-0.0771667,0.1779667,0.0695333
0.085,-1.4939,0.62835
0.1862,-2.0821,0.6151
0.35555,-1.9051,0.13855
0.54945,-1.52225,-0.3591
0.7117,-1.2045,-0.55435
0.83455,-1.093,-0.47045
0.91005,-1.0787,-0.3766
0.8074,-1.08995,-0.2797
0.68645,-0.77445,-0.0272
0.63885,-0.34915,0.31885
0.5914,-0.157,0.4775
0.41435,-0.20425,0.4428
0.0175,-0.6652,0.39285
-0.27755,-1.5213,0.2125
-0.48525,-2.488,0.08545
-0.42435,-3.1223,-0.1667
-0.21965,-2.98605,-0.4189
0.22055,-2.3663,-0.3541
0.49255,-1.81345,-0.212
0.4392,-1.58755,-0.13125
0.2578,-1.7427,0.0879
0.2592,-1.7457,0.2824
0.57345,-0.87945,0.70935
0.8555,-0.42225,1.12005
0.755,-0.7304,1.00495
0.58075,-1.12535,0.76735
0.77225,-1.1375,0.7467
0.8332,-1.057,0.80505
0.4251,-1.0848,0.94155
-0.2022,-0.45485,0.90165
-0.50465,1.83875,0.3663
-0.5229,3.58025,-1.31185
-0.14305,3.69135,-3.1561
0.4482,3.28835,-2.8957
0.26265,0.5876,-0.67235
-1.5513,-0.0537,2.62725
-3.14795,3.9827,2.6494
-3.3899,7.4643,1.12345
-1.3984,7.7841,-0.973
-0.1146,4.4167,-0.5158333
0.0082,0.6626,1.2423
-0.2797667,-1.6279,0.4443
-0.2084,-2.55265,-1.27525
-0.0417,-2.5553,-1.8615
0.0265,-2.5463667,-2.0244
-0.1885,-2.5464,-2.1797
-0.4428,-2.7742333,-2.2557333
-0.68925,-3.22875,-1.7217
-0.9005,-3.38,-1.3703
-1.0243,-2.9939,-1.2543333
-0.79045,-1.9269,-1.4697
-0.69045,-1.3311,-1.56805
-0.46945,-1.5239,-1.23585
-0.2504,-2.56275,-0.61545
-0.5642,-3.5364,0.23815
-1.1097,-3.9428,0.8739
-1.6321,-3.332,0.9694
-2.11195,-1.84845,0.63675
-2.2597,-0.1814,-0.32365
-1.55285,0.20665,-1.14745
-0.56445,-0.55,-0.8363
0.42285,0.25995,-0.3413
1.7991,2.45695,-0.93975
3.51245,3.7867,-2.3767
3.73925,4.3766,-2.6833
2.09695,2.954,-0.14615
-0.1145,0.9046,2.6259
-1.3885333,2.0251333,3.8719333
-0.3462,8.70685,2.8761
0.9115,11.4554,-2.2232
1.6548,8.435,-3.9731
1.0285,2.1448,0.5926
-0.2324,-2.51405,2.12925
-0.77805,-4.18575,1.23145
-0.54805,-3.30405,-0.02685
-0.19105,-2.1327,-1.0549
0.637,-1.63155,-1.66055
