accx,accy,accz
0.0977,-0.2571,-0.1240333
0.18805,-0.25725,-0.1226
0.05515,-0.28115,0.12235
-0.1079,-0.40345,0.0661
0.0805,-0.3803,0.0185
0.18855,-0.0499,-0.03845
-0.0412,-0.14405,-0.02675
-0.1447,-0.2655,-0.30345
-0.05635,-0.10955,-0.324
-0.144,-0.1386,-0.158
-0.5151,-0.2032,-0.51505
-0.60335,0.09295,-0.6113
-0.3633,0.5432,-0.3893
0.039,0.54185,-0.40625
0.46105,0.44415,0.1798
0.65875,0.10855,0.3195
0.3247,-0.4049,-0.0211
-0.5453,-0.57695,-0.4746
-1.13225,-0.47635,-0.6246
-0.96825,-0.49045,-0.3522
-0.6986,-0.5283,-0.0579
-0.4604667,-0.1799667,-0.1091333
-0.47905,0.57035,0.0131
-0.6203,0.75205,0.53625
-0.706,0.11055,1.37735
-0.5036,-0.5345,0.86425
0.121,-0.5156,0.21175
0.68965,-0.3487,0.46705
0.45715,-0.4005,0.3952
-0.16785,-0.3495,0.1303
-0.28455,-0.22195,-0.24655
0.2979,-0.232,-0.40805
0.6231,-0.4938,-0.00305
0.2508,-0.85035,0.15615
-0.37355,-0.5701,-0.341
-0.57995,-0.0013,-0.322
-0.46835,0.05285,0.0448
-0.4221,-0.2338,0.6802
-0.3574667,-0.5651333,0.7196333
-0.1711,-0.5936,0.2292
0.0269333,-0.4486667,0.0327
-0.04655,-0.3964,0.076
-0.16225,-0.39215,0.22705
-0.2013,-0.4508,0.4959
-0.3235667,-0.6518333,0.6294333
-0.375,-0.7076,0.4682
-0.1124667,-0.5276667,0.1411333
0.13625,-0.2304,-0.0216
0.10365,-0.20125,0.2985
-0.1008,-0.35635,0.45305
-0.2543,-0.5828,0.6082
-0.24815,-0.79145,0.513
0.1171667,-0.7771667,0.4521333
0.1139,-0.485,0.752
-0.28975,-0.1438,0.691
-0.4443,0.0991,0.7298
-0.29695,0.2795,0.82755
0.1933333,0.7384667,0.3711333
0.5498,1.7277,0.1463
0.79575,2.62005,0.5524
1.1081,2.8213,1.3789
1.22015,2.62935,2.3575
0.7283333,2.0708,2.3233
0.13365,2.162,0.9365
0.21025,2.14655,0.40715
0.3103,1.9099,-0.1624
-0.0374,1.2273333,-0.9316667
-0.69305,0.25975,-1.46
-1.08995,-0.5225,-1.7458
-1.21785,-0.86245,-2.0533
-0.9519,-0.7687,-2.1392
-0.0631333,-0.2571667,-1.8317
1.12995,0.14785,-1.15245
1.48225,0.00545,-0.6898
0.99015,-0.2741,-0.68145
