accx,accy,accz
0.0127,-0.02195,-0.0101
0.0075,-0.0201,0.0313
-0.0368,0.0108,-0.014
-0.0064,0.01785,-0.01145
-0.0132,-0.02415,-0.0019
-0.0276,-0.019,-0.1375
0.0037,-0.0137,0.0817
-0.0700667,-0.0156333,0.2686333
-0.1198,0.0417,0.03915
0.00345,0.00505,-0.11775
0.0811,-0.02635,-0.11025
0.0591,-0.0356,-0.0984
0.0726333,-0.0382333,0.0270667
0.06105,0.0301,0.08765
0.0495,0.01305,0.07765
0.05825,0.00075,-0.0029
0.0768,-0.0254,-0.0329
0.0490667,-0.0147333,-0.0650667
0.028,-0.0121,-0.1235
0.02225,0.02145,-0.02885
0.01945,0.0333,0.16685
-0.00875,-0.0212,0.2438
-0.03215,-0.00375,0.1237
-0.0286,-0.0116,-0.0423
-0.0827333,-0.0212333,-0.1076333
-0.0441,-0.0243,-0.1377
0.0384,-0.02545,-0.0297
0.05975,-0.0188,0.014
0.0415,-0.008,0.0842
0.0153333,0.0128333,0.0847333
0.02415,0.0234,-0.0673
0.03325,-0.0089,-0.0626
0.0047,-0.0098,-0.007
0.0156,-0.0245,0.0025667
0.0084,0.02695,0.1703
-0.0025,0.05355,-0.0444
-0.01155,0.01665,-0.1038
-0.03595,-0.06765,-0.01825
-0.0078,-0.0672,0.02605
0.0434,-0.01195,-0.00485
0.0084,0.0022,0.0271
-0.0010667,-0.0086,0.0074333
0.0184,0.0114,0.02615
0.01425,0.036,0.0221
-0.0012,-0.0024,-0.00545
0.0044,-0.0108,-0.0234
0.0154,0.00025,0.0342
-0.0114,-0.00015,0.0261
0.01055,0.0319,0.0355
0.00735,-0.00265,0.00095
0.0237,-0.03525,-0.00905
0.0052,-0.0221,-0.039
-0.0157,-0.0007,-0.07795
0.03495,-0.0103,0.02175
0.0121,-0.02025,0.0183
0.01365,0.0226,0.02825
0.02625,0.03715,0.0401
-0.0319,0.0234,0.0211
-0.00375,0.0098,-0.0619
-0.01235,-0.0215,0.05265
-0.0474,-0.03725,0.05715
0.01055,0.00155,0.10745
0.02845,0.03065,0.2507
0.02575,0.0384,-0.05595
0.00795,0.0069,-0.1325
-0.04355,-0.0718,-0.10865
0.03145,-0.0553,-0.0192
0.07405,-0.0192,0.0213
0.00385,0.02095,0.10505
-0.0044,0.02675,0.0225
0.0101,0.01745,0.0064
-0.00675,0.02025,0.0175
-0.0192,-0.005,-0.011
0.0084,-0.0078,-0.05045
0.02925,-0.0004,-0.0183
0.0184333,-0.0175667,0.0171667
-0.0184,0.0284,0.0391
-0.0513,0.0092,0.02235
0.03435,0.002,0.0858
0.0485,0.0181,0.0867
0.0068,-0.0028,0.0024667
0.00895,-0.00815,-0.0639
0.0034,-0.02805,-0.0466
-0.0246,-0.0206,-0.0019
-0.0204,-0.0017,0.04805
0.0261,0.0159,0.0419
0.02505,0.0337,-0.03375
0.0056,-0.0071,-0.03505
-0.02925,-0.028,-0.00085
-0.0174,-0.0187,0.0542
0.01145,0.0214,0.2266
0.021,0.0376,0.0612
0.0549333,0.0573,-0.1132333
-0.07765,-0.04925,0.0403
-0.0199,-0.05885,0.11525
0.05305,-0.04815,0.06915
0.0172,-0.0293,-0.0059
-0.0064,-0.0346,-0.1273667
0.04875,0.0018,-0.1072
-0.02005,0.0262,-0.01045
-0.0469,0.02925,0.02245
-0.00615,0.0291,-0.039
0.0447,0.02215,-0.009
0.02425,0.0071,0.09905
0.02875,0.04085,0.1379
0.0319,0.03405,0.04195
