accx,accy,accz
-0.0021667,-0.1336333,-0.0851667
-0.0103,-0.13415,-0.0798
-0.02285,-0.1511,-0.0883
-0.00915,-0.16925,-0.05605
-0.019,-0.1819,-0.03825
-0.0236,-0.143,-0.0165
-0.01125,-0.11945,-0.002
-5e-05,-0.1193,-0.0236
-0.0042,-0.1732,-0.0604
-0.0008,-0.1662,-0.0758
0.0054667,-0.1516,-0.1199667
0.0059,-0.1528,-0.095
0.02365,-0.16395,-0.05785
0.00515,-0.12505,-0.04485
-0.0278,-0.11735,-0.0514
-0.0639,-0.1485,-0.0657
-0.02325,-0.19805,-0.03905
-0.02015,-0.2121,-0.03715
0.0121,-0.1885,-0.01645
0.0013,-0.17325,-0.01195
-0.0125,-0.15835,-0.00965
-0.01485,-0.17715,-0.0179
-0.0195,-0.18685,-0.04995
-0.01545,-0.16615,-0.06215
-0.0174,-0.1438,-0.0564
-0.01085,-0.13555,-0.08055
-0.0007,-0.1351,-0.0619
-0.00835,-0.15005,-0.07735
0.0101,-0.17645,-0.08365
-0.0035,-0.17735,-0.08925
-0.0063,-0.17745,-0.0666
-0.01685,-0.17205,-0.0626
-0.01235,-0.1432,-0.04575
0.00375,-0.136,-0.08415
0.0045,-0.1617,-0.11865
-0.0113,-0.1791,-0.06995
-0.02745,-0.16085,-0.10715
0.002,-0.16155,-0.11085
0.0141667,-0.1349333,-0.0698333
-0.0142,-0.1102,-0.0519
-0.0228667,-0.1208333,-0.0637667
-0.0092,-0.1895,-0.0429
-0.0055333,-0.2117,-0.039
0.0052,-0.2191,-0.0472
0.0019,-0.18865,-0.0563
-0.0012333,-0.1522333,-0.0608333
0.0004,-0.155,-0.0501
0.02065,-0.13265,-0.07225
0.00385,-0.1355,-0.0778
-0.0103333,-0.1591333,-0.0928
-0.0331,-0.1698,-0.0907
0.0121,-0.1755333,-0.0863333
0.0263,-0.1919,-0.0416
0.0165333,-0.1856667,-0.0621333
-0.00815,-0.1764,-0.07435
-0.0265,-0.1781,-0.0853
-0.0298667,-0.1739333,-0.0817667
-0.02195,-0.14565,-0.0559
-0.00925,-0.1758,-0.06495
-0.01275,-0.20205,-0.06425
-0.01115,-0.2012,-0.01715
-0.0043,-0.21855,-0.07415
0.0024,-0.2059,-0.0725
-0.017,-0.1779,-0.05225
-0.00885,-0.1274,-0.0347
-0.0221,-0.11625,-0.05365
-0.02725,-0.11115,-0.0792
-0.0075,-0.1354,-0.05865
0.01895,-0.1624,-0.05485
0.0333,-0.17245,-0.0522
0.05135,-0.1529,-0.06095
0.00655,-0.16465,-0.1085
-0.0052,-0.15565,-0.07915
-0.01545,-0.1623,-0.0565
-0.02535,-0.15585,-0.0619
-0.024,-0.15235,-0.09385
-0.0121,-0.14735,-0.0845
0.0004,-0.13155,-0.05285
-0.00445,-0.1252,-0.0511
-0.01395,-0.1312,-0.0937
0.0094,-0.19055,-0.1087
-0.00705,-0.1752,-0.07475
-0.0187,-0.1519,-0.10485
0.00505,-0.1604,-0.11055
