accx,accy,accz
-0.5679,-0.237,0.5595667
-0.5564,0.63915,0.60995
-0.05865,1.1618,0.69705
0.54845,1.16345,0.5404
0.54315,0.8163,1.16535
0.314,0.431,2.2729
-0.147675,0.783725,2.486275
-1.04475,3.07615,-0.35225
-0.701,2.8392,-2.1552
-0.11485,2.94115,-2.9866
-0.15,1.8597,-2.7472
-0.207075,-0.83825,-1.30725
-0.7222,-1.464,-0.4456
-1.0391667,-0.6427,-0.8429
-0.5197,0.21075,-1.08555
0.5138,-0.1239,-0.993225
1.03625,-1.1702,-0.3108
0.42135,-1.8641,0.19975
-0.2959,-1.9739,0.3704
-0.7707333,-1.8162,0.4517333
-0.7716,-1.4739,0.11395
-0.13485,-1.08225,0.14015
0.5592,-1.0142,0.2299
0.8551,-1.2259,0.2188
0.78475,-1.43585,0.06795
0.1466667,-1.9599667,0.5187333
-0.74155,-2.06275,0.8554
-1.2858,-1.4408,0.8729
-1.35025,-0.79515,0.8392
-1.1677,-0.3008,1.1591
-0.6284,0.3218,1.4071
-0.0469,1.2018,1.50185
0.2559,1.5591,1.6186
0.52835,1.3107,2.7256
0.8948,0.6875,2.8897
1.014,1.87185,1.89045
-0.253,3.8707,-1.3033667
-1.65975,2.3444,-2.1348
-0.7197,0.6662,-2.02865
0.3525,0.0271,-1.767
1.0085333,0.1970667,-0.6790333
0.3102,0.3972,-0.7025
-0.9515,-0.0413,-0.74775
-0.70205,-0.211,-0.74125
-0.0666,-0.33635,-0.91245
0.26125,-0.906,-0.78905
0.425,-1.72695,-1.2034
0.6773,-1.9718,-0.6985
0.86595,-1.98185,-0.1369
0.507925,-1.5784,0.0806
0.00855,-1.38635,-0.04835
0.01905,-1.87475,0.3306
0.3847,-2.2765,0.7669
0.7197,-2.3298,0.94
0.7317,-2.1721667,1.1741667
-0.1779667,-1.1587333,0.7262667
-0.841,-0.2023,0.0466
-0.78915,0.25555,-0.22715
-0.1162,0.83235,-0.05575
1.1666,1.1413667,0.9850333
1.515,1.1856,2.6261
1.2059,0.8443,3.3379
0.1626,0.6172667,3.1279667
-0.7049,1.8055,1.9496
-0.2510333,2.9938,-0.6250333
0.7011,2.9949,-1.87865
0.83225,1.0361,-2.791
-0.19645,-0.90955,-1.90535
-1.4017,-1.574075,-0.4092
-1.4146,-0.0171,-0.5143
-0.1344333,0.9327,-0.44
0.7986,0.94595,-0.78205
0.674225,-0.7352,-0.61905
0.7769,-2.54325,0.5753
0.15755,-2.777,0.67305
-0.41035,-2.30285,0.2683
-0.689875,-1.1187,0.0484
-0.2523,-0.71005,0.41155
-0.2149,-1.09935,0.8751
-0.53125,-1.77555,0.95525
-0.7347,-2.2327,1.27585
-0.44485,-2.12235,1.3836
-0.09365,-1.61325,1.1002
0.0173,-0.79105,0.91295
-0.27805,0.7379,0.8576
-1.08425,2.14745,0.9162
-1.71155,2.24275,1.06985
-1.57355,1.3343,2.5876
-0.2639,0.3212,3.25205
1.9211,0.61435,1.74135
2.5615,2.69795,-0.737
0.7425,3.41835,-3.4507
-1.0244,1.8304,-3.59775
-0.3157,0.2475,-1.61665
1.28145,-0.9107,0.29875
1.9171,-1.0214,0.6569
1.1960333,0.1558667,-0.7218333
-0.3079,1.02155,-1.33975
-1.35965,0.7551,-0.4782
-1.61005,-0.0778,0.25715
-1.267,-1.2163,0.3159
-0.272275,-2.800625,-0.179975
1.05355,-2.65025,-0.28215
1.7303,-1.6653,-0.01635
1.7038,-1.0807,0.1639
1.3498,-0.9903,0.2765
0.277675,-1.241375,0.058925
0.17635,-1.90755,0.22355
0.7676,-2.1614,0.7782
1.0686,-2.1382,1.2341
0.9148,-1.92705,1.3583
0.3897,-1.4971,1.222
-0.3837667,-0.7754333,0.9335667
-0.8154667,0.3348667,-0.0988333
-0.0575,1.2076,0.1343
1.3686667,1.6617667,0.7417
1.465825,0.394875,3.9932
-1.3547,1.12115,2.67975
-1.9004,3.2902,-1.2089
-1.1144,4.0329,-3.918
0.4212667,3.1757667,-3.6921333
1.78885,-0.4894,-1.47535
1.3057,-2.1149,-0.4471
0.4083,-2.85185,-0.20055
-0.0829,-2.4171,-0.3717
-0.5263667,-0.8023,-0.6349
-0.58185,1.36635,-0.14515
-0.5673,2.0295,-0.5668
0.18065,0.9969,-0.2656
1.0791,-0.6694,0.4049
1.0078,-2.3138333,0.9262
0.00955,-2.65955,0.63685
-0.70845,-2.0523,0.1693
