accx,accy,accz
0.84485,-3.9075,-1.3995
0.556,-4.0226,-1.2539
0.34155,-3.95215,-0.91875
0.4850333,-3.1993667,-0.6992
0.7606,-2.5239,-1.1618
1.0414,-1.6318,-1.77935
1.1713,-0.7977,-1.1032
0.8122,-0.5037,0.49305
-0.5912,-0.8175,0.1251667
-1.5337,-0.3978,-1.89195
0.02745,0.4025,0.21505
1.61005,0.14515,2.88385
1.53285,-0.6775,2.92385
0.6331,-1.1994,1.3988
-0.4818667,-1.1462333,-1.0614
-0.87415,0.8536,-2.84235
-0.016,2.43095,-1.8187
0.7452,2.1558,-0.7363
0.5466667,0.5467333,-1.2558667
-0.332,-0.72145,-2.45315
-1.05545,2.0501,-2.2622
-1.2221,4.37915,-0.34275
-1.7234,4.4165,1.7635
0.0353333,2.7342667,2.2525667
1.0806,0.5272,2.6612
0.093,2.15295,2.44465
-1.96865,3.74725,0.9434
-2.8283,3.7698,0.3208
-2.0823333,1.8657333,0.5408
-0.4252,0.03295,1.63565
0.3691,-0.65115,1.15155
0.3851,-1.3673,-0.3467
0.15605,-1.7698,-1.2486
-0.28985,-2.2781,-0.86
-0.6795,-3.1383,-0.07395
-0.67845,-3.92815,-0.23215
-0.17635,-4.21515,-1.04815
0.43855,-4.0816,-1.63095
0.7837,-3.7652,-1.3393
0.5974333,-3.3572,-0.3623
-0.1355,-2.90825,-0.0426
-0.50985,-2.2337,-0.5677
-0.25165,-1.66735,-0.78375
0.3215,-1.4423,-0.4057
0.5968,-0.83475,-0.0529
0.3877,-0.18945,0.6965
-0.4608,0.1005,1.59975
-1.10975,0.3457,1.23785
-1.4248,1.25555,0.66675
-1.6115667,2.5749333,0.9329
-1.6644,3.2211,2.1123
-1.1672,2.0631,1.1945667
-0.0931,0.3763,-0.7768
1.14835,0.0968,-1.73845
2.3409,2.1362333,-2.6564333
1.43015,3.42745,-0.45755
-2.17585,3.42265,1.09675
-3.8116,2.0735,1.1411
-1.2942,1.3188,2.0353333
1.563,1.8398,1.5692
2.1496,2.5518667,-0.0655333
1.0738,1.9688,-0.33455
-0.1415,0.3542,0.08105
-0.42695,-1.3506,-0.0834
-0.0929,-2.7725,-0.6931
0.2615,-3.81605,-1.4039
0.5563,-4.30165,-1.7807
0.8296,-4.2635,-1.7189
1.0424,-3.9989,-1.426
1.0990667,-3.6232333,-0.7795
0.70085,-3.05185,-0.07465
0.3499,-2.8491,0.3729
0.21075,-2.7935,0.381
0.4053,-2.36005,0.4146
0.81235,-1.64785,0.81225
0.47685,-1.0226,1.13955
-0.087,-0.4906,0.5204
-0.1699,-0.0827,-0.2153
0.3772667,0.6302,0.3972
1.0707,1.8742,0.93965
0.66275,3.01065,1.15805
-0.311,3.54275,-0.45175
-1.22655,2.7963,-2.22735
-1.4669,2.72845,-2.4867
-0.599,4.20095,-1.37095
-0.47915,2.94565,1.1001
0.5453,0.87235,2.12215
0.92945,-0.4647,1.3685
1.10085,0.6311,1.01775
0.86055,3.4756,0.8848
-0.51015,5.31575,0.07255
-1.86975,4.0256,-1.14275
-2.03065,0.72245,-0.31575
-1.2714,-1.4882,0.6007
-0.073,-3.4622,0.5278667
0.76975,-4.82795,-1.1031
0.8406,-4.94115,-2.08605
0.5318,-4.49895,-2.1973
0.2761,-4.2522,-1.5493
0.3474,-4.70015,-0.3422
0.6405333,-5.5338,-0.2773667
0.04795,-4.29605,-1.9022
-0.9759,-2.0928,-2.1261
-1.4206,-0.6367,-0.0654
-0.9132,-0.7121,1.6778
0.5021667,-0.7995333,-0.7477
1.239,1.1575,-0.0189
0.7213,2.0584,2.2117
0.0424667,2.2790333,4.0827
0.64505,2.45,2.3129
0.49695,2.518,-0.09765
