time,ax (m/s^2),ay (m/s^2),az (m/s^2),aT (m/s^2)
0.000941,0.0475,-0.0014,-0.4458,0.448
0.001449,0.0676,0.0003,-0.4182,0.424
0.008732,0.0922,-0.0341,-0.3032,0.319
0.011490,0.0374,-0.0425,-0.1844,0.193
0.016418,0.0098,-0.0583,-0.0833,0.102
0.021135,-0.0106,-0.0671,0.0122,0.069
0.026353,-0.0220,-0.0735,0.0619,0.099
0.031190,-0.0104,-0.0846,0.0684,0.109
0.036370,-0.0069,-0.0743,0.0583,0.095
0.041123,-0.0277,-0.0736,0.0388,0.088
0.045866,0.0060,-0.0088,-0.0019,0.011
0.050936,-0.0080,-0.0348,-0.0351,0.050
0.056508,-0.0026,-0.0297,-0.0396,0.050
0.060856,-0.0112,0.0014,-0.0298,0.032
0.065915,0.0085,-0.0558,0.0132,0.058
0.070750,0.0110,-0.0725,0.0107,0.074
0.076034,0.0157,-0.0511,-0.0274,0.060
0.080817,0.0347,-0.0225,-0.0533,0.067
0.085612,-0.0009,0.0085,-0.0291,0.030
0.090473,0.0139,0.0203,-0.0075,0.026
0.095312,0.0120,0.0440,0.0044,0.046
0.100416,-0.0016,0.0321,0.0162,0.036
0.105274,0.0278,0.0227,-0.0243,0.043
0.110115,0.0096,0.0230,-0.0052,0.025
0.115494,0.0058,0.0517,0.0186,0.055
0.119961,-0.0053,0.0327,0.0445,0.056
0.125058,-0.0069,0.0257,0.0323,0.042
0.130287,-0.0230,0.0091,0.0462,0.052
0.134944,-0.0155,0.0021,0.0221,0.027
0.139822,-0.0153,-0.0167,0.0172,0.028
0.144874,-0.0080,-0.0260,-0.0020,0.027
0.149684,0.0039,-0.0259,-0.0091,0.028
0.154829,0.0039,-0.0163,-0.0138,0.022
0.159809,0.0348,-0.0236,-0.0018,0.042
0.164809,0.0180,-0.0334,-0.0018,0.038
0.169500,0.0467,-0.0527,-0.0469,0.085
0.174747,0.0565,-0.0576,-0.0180,0.083
0.179286,0.0497,0.0037,-0.0084,0.051
0.184260,0.0312,0.0240,0.0224,0.045
0.189485,0.0342,0.0394,0.0151,0.054
0.194142,0.0493,0.0048,-0.0231,0.055
0.199177,0.0357,0.0322,0.0150,0.050
0.204235,0.0245,0.0357,0.0220,0.049
0.209047,0.0323,0.0583,0.0099,0.067
0.214336,0.0328,0.0381,-0.0068,0.051
0.219118,0.0192,0.0183,-0.0092,0.028
0.224132,0.0033,0.0342,0.0288,0.045
0.228778,-0.0171,0.0451,0.0285,0.056
0.234021,-0.0018,0.0489,0.0164,0.052
0.239180,0.0014,0.0289,0.0020,0.029
0.243741,0.0071,0.0115,-0.0147,0.020
0.248849,0.0056,-0.0127,-0.0170,0.022
0.253603,0.0182,-0.0344,-0.0098,0.040
0.259504,0.0404,-0.0606,-0.0738,0.104
0.264081,0.0172,-0.0559,-0.0091,0.059
0.268855,0.0204,-0.0538,-0.0352,0.067
0.274179,-0.0359,-0.0377,-0.0065,0.052
0.278455,-0.0275,-0.0457,0.0007,0.053
0.283365,-0.0312,-0.0325,-0.0065,0.046
0.288103,-0.0111,-0.0644,-0.0469,0.080
0.293351,-0.0102,-0.0416,-0.0204,0.047
0.298196,-0.0354,-0.0239,0.0272,0.051
0.303402,-0.0203,-0.0136,0.0435,0.050
0.308142,-0.0126,0.0084,0.0621,0.064
0.313066,0.0020,0.0088,0.0497,0.051
0.317996,-0.0004,0.0092,0.0588,0.059
0.323178,0.0043,-0.0139,0.0369,0.040
0.327700,0.0472,-0.0153,-0.0014,0.050
0.332831,0.0472,-0.0140,-0.0062,0.050
0.337654,0.0238,0.0112,0.0532,0.059
0.342786,0.0033,0.0338,0.0812,0.088
0.347738,0.0117,0.0374,0.0615,0.073
0.352663,0.0155,0.0294,0.0538,0.063
0.359837,0.0124,0.0169,0.0224,0.031
0.362323,0.0000,0.0214,0.0459,0.051
0.367562,0.0306,0.0024,0.0383,0.049
0.372958,0.0065,0.0191,0.0522,0.056
0.377238,-0.0053,0.0500,0.0635,0.081
0.382183,-0.0148,0.0428,0.0582,0.074
0.386892,0.0067,0.0334,0.0363,0.050
0.392054,0.0185,0.0243,0.0027,0.031
0.397563,0.0256,-0.0034,-0.0069,0.027
0.401879,0.0135,0.0143,0.0311,0.037
0.406981,0.0275,0.0390,0.0664,0.082
0.411898,0.0268,-0.0076,0.0824,0.087
0.416663,0.0445,-0.0205,0.1173,0.127
0.421558,0.0567,-0.0331,0.0878,0.110
0.426731,0.0398,-0.0239,0.0919,0.103
0.431850,0.0271,-0.0027,0.1006,0.104
0.436585,0.0116,-0.0123,0.0761,0.078
0.441542,-0.0089,0.0022,0.0779,0.078
0.446274,-0.0223,0.0357,0.0465,0.063
0.451271,-0.0045,-0.0042,-0.0393,0.040
0.457461,-0.0502,0.0468,-0.0650,0.094
0.461370,-0.0828,0.0834,-0.1048,0.157
0.466206,-0.1235,0.1105,-0.1229,0.206
0.471318,-0.1938,0.1660,-0.1266,0.285
0.476566,-0.2055,0.1430,-0.1588,0.296
0.481102,-0.2139,0.1182,-0.2264,0.333
0.486015,-0.1957,0.1108,-0.2839,0.362
0.491008,-0.1775,0.1066,-0.3148,0.377
0.495656,-0.1453,0.0890,-0.3715,0.409
0.500797,-0.1091,0.0772,-0.4182,0.439
0.506085,-0.0454,0.0733,-0.4479,0.456
0.510675,-0.0049,0.0723,-0.3966,0.403
