time,ax (m/s^2),ay (m/s^2),az (m/s^2),aT (m/s^2)
0.000662,-0.0911,-0.0845,-0.1266,0.177
0.007119,-0.0796,-0.0350,-0.1623,0.184
0.017205,-0.0642,-0.0396,-0.1349,0.155
0.026678,-0.0479,-0.0311,-0.0595,0.083
0.037038,-0.0110,-0.0535,-0.0328,0.064
0.046659,-0.0032,-0.1295,0.0010,0.129
0.059231,-0.0197,-0.1704,0.0065,0.172
0.069815,-0.0068,-0.2297,0.0077,0.230
0.077346,-0.0140,-0.2481,0.0022,0.249
0.086414,-0.0087,-0.2560,-0.0144,0.257
0.097316,0.0035,-0.2443,-0.0157,0.245
0.106201,0.0141,-0.2363,-0.0218,0.238
0.116369,0.0091,-0.2320,-0.0396,0.236
0.126228,0.0084,-0.2320,-0.0546,0.239
0.137838,-0.0139,-0.2412,-0.0583,0.249
0.148087,-0.0122,-0.2413,-0.0820,0.255
0.156941,-0.0236,-0.1790,-0.0925,0.203
0.165501,-0.0233,-0.1052,-0.0683,0.128
0.175976,-0.0147,-0.0730,-0.0568,0.094
0.186048,0.0161,-0.0897,-0.0522,0.105
0.200547,0.0091,-0.0824,-0.0508,0.097
0.206821,0.0178,-0.0687,-0.0762,0.104
0.215789,0.0180,-0.0521,-0.0994,0.114
0.227718,0.0189,-0.0712,-0.1372,0.156
0.235395,0.0061,-0.0969,-0.1141,0.150
0.245083,-0.0091,-0.1349,-0.1381,0.193
0.255496,-0.0144,-0.1613,-0.1484,0.220
0.265070,-0.0158,-0.1526,-0.1331,0.203
0.274509,-0.0096,-0.1538,-0.1132,0.191
0.284318,-0.0157,-0.1469,-0.1119,0.185
0.296780,0.0036,-0.1783,-0.1083,0.209
0.304562,0.0133,-0.2299,-0.1097,0.255
0.316307,0.0198,-0.2304,-0.1145,0.258
0.324125,-0.0183,-0.1844,-0.0958,0.209
0.334154,-0.0355,-0.1489,-0.1108,0.189
0.343986,-0.0261,-0.1112,-0.1023,0.153
0.354083,-0.0208,-0.1034,-0.1159,0.157
0.364374,-0.0156,-0.1108,-0.1013,0.151
0.374005,-0.0032,-0.1393,-0.0642,0.153
0.392636,-0.0098,-0.1360,-0.0549,0.147
0.397344,-0.0193,-0.1681,-0.0789,0.187
0.403609,-0.0281,-0.1943,-0.1163,0.228
0.413283,-0.0075,-0.2256,-0.1617,0.278
0.423280,-0.0098,-0.2306,-0.1427,0.271
0.433169,0.0020,-0.2014,-0.1331,0.241
0.443352,0.0184,-0.1354,-0.1140,0.178
0.452701,0.0149,-0.1071,-0.0978,0.146
0.465283,0.0147,-0.0779,-0.0832,0.115
0.473019,0.0094,-0.0563,-0.0755,0.095
0.486400,0.0022,-0.0545,-0.1018,0.116
0.492514,-0.0239,-0.1149,-0.1170,0.166
0.502924,-0.0238,-0.1582,-0.1164,0.198
0.512798,-0.0472,-0.1873,-0.1191,0.227
0.522321,-0.0379,-0.2082,-0.1043,0.236
0.532638,-0.0177,-0.2039,-0.0931,0.225
0.542023,-0.0275,-0.1982,-0.0705,0.212
0.552019,-0.0391,-0.1915,-0.0653,0.206
0.563498,-0.0406,-0.1794,-0.0655,0.195
0.576723,-0.0380,-0.1485,-0.0355,0.157
0.581857,-0.0237,-0.1603,-0.0459,0.168
0.592891,-0.0235,-0.1575,-0.0495,0.167
0.601391,-0.0113,-0.1618,-0.0631,0.174
0.611880,0.0039,-0.1559,-0.0699,0.171
0.621498,-0.0101,-0.1563,-0.0525,0.165
0.630874,-0.0119,-0.1660,-0.0448,0.172
0.641337,0.0053,-0.1651,-0.0549,0.174
0.653245,-0.0093,-0.1732,-0.0678,0.186
0.664591,-0.0153,-0.1586,-0.0791,0.178
0.671424,-0.0144,-0.1601,-0.0750,0.177
0.680988,-0.0224,-0.1955,-0.0603,0.206
0.692358,-0.0263,-0.2138,-0.0399,0.219
0.700712,-0.0350,-0.2247,-0.0302,0.229
0.710866,-0.0525,-0.2144,-0.0310,0.223
0.721712,-0.0409,-0.1631,-0.0408,0.173
0.731161,-0.0346,-0.1324,-0.0291,0.140
0.742768,-0.0336,-0.0929,-0.0475,0.110
0.751456,-0.0581,-0.0678,-0.0696,0.113
0.760929,-0.0277,-0.1042,-0.1148,0.157
0.770337,0.0280,-0.1400,-0.1031,0.176
0.780290,0.0712,-0.1308,-0.0665,0.163
0.790580,0.0450,-0.1056,-0.0159,0.116
0.799397,0.0325,-0.1174,-0.0214,0.124
0.810073,0.0310,-0.1355,-0.0803,0.161
0.820850,0.0345,-0.1327,-0.1486,0.202
0.832453,0.0208,-0.1426,-0.1890,0.238
0.839154,-0.0081,-0.1262,-0.1779,0.218
0.849066,0.0030,-0.1363,-0.1130,0.177
0.859187,0.0018,-0.1716,-0.0734,0.187
0.869240,-0.0059,-0.2082,-0.0704,0.220
0.878774,-0.0182,-0.2052,-0.0817,0.222
0.893095,-0.0041,-0.2211,-0.0820,0.236
0.907942,0.0345,-0.2162,-0.0788,0.233
0.915220,0.0384,-0.2102,-0.0529,0.220
0.918438,0.0247,-0.2041,-0.0334,0.208
0.929318,-0.0056,-0.1715,-0.0106,0.172
0.938791,-0.0198,-0.1389,-0.0139,0.141
0.948532,-0.0096,-0.1210,-0.0528,0.132
0.964240,-0.0263,-0.1316,-0.0627,0.148
0.967761,-0.0407,-0.1436,-0.0708,0.165
0.979478,-0.0345,-0.1852,-0.0638,0.199
0.994458,-0.0344,-0.2116,-0.0710,0.226
0.997740,-0.0448,-0.1865,-0.0456,0.197
1.011746,-0.0262,-0.1788,-0.0591,0.190
1.020391,-0.0229,-0.1925,-0.0425,0.198
1.028428,-0.0015,-0.1948,0.0039,0.195
1.037255,0.0187,-0.1846,-0.0035,0.186
1.047391,0.0074,-0.1898,0.0108,0.190
1.058516,0.0216,-0.2031,-0.0005,0.204
1.068599,0.0213,-0.1699,-0.0389,0.176
1.079786,0.0238,-0.1654,-0.0478,0.174
1.086941,0.0316,-0.1491,-0.0513,0.161
1.097982,0.0341,-0.1112,-0.0632,0.132
1.108505,0.0294,-0.0776,-0.0764,0.113
1.117872,0.0289,-0.0759,-0.0708,0.108
1.126361,0.0328,-0.0921,-0.0941,0.136
1.136532,0.0270,-0.1144,-0.0897,0.148
1.148455,0.0141,-0.1438,-0.0807,0.165
1.158728,0.0189,-0.1508,-0.0787,0.171
1.165994,0.0013,-0.1889,-0.0545,0.197
1.176226,-0.0092,-0.2085,-0.0394,0.212
1.186438,-0.0159,-0.2131,-0.0350,0.217
1.195927,-0.0121,-0.2132,-0.0089,0.214
1.210077,-0.0355,-0.2235,-0.0033,0.226
1.218006,-0.0619,-0.2192,-0.0230,0.229
1.225653,-0.0516,-0.2060,0.0028,0.212
1.237074,-0.0891,-0.1664,-0.0184,0.190
1.248197,-0.0908,-0.1323,-0.0482,0.168
1.255589,-0.0837,-0.0888,-0.0760,0.144
1.265305,-0.0732,-0.0591,-0.0750,0.120
1.276018,-0.0407,-0.0975,-0.1172,0.158
1.284866,0.0034,-0.1432,-0.1215,0.188
1.295882,0.0231,-0.1984,-0.1088,0.227
1.307781,0.0581,-0.2624,-0.0549,0.274
1.314985,0.0548,-0.3141,-0.0132,0.319
1.326154,0.0309,-0.2991,0.0079,0.301
1.334352,0.0328,-0.2312,-0.0288,0.235
1.344645,0.0137,-0.1951,-0.0583,0.204
1.354175,0.0393,-0.1413,-0.0931,0.174
1.364350,0.0455,-0.0710,-0.1328,0.157
1.373779,0.0538,-0.0684,-0.1298,0.156
1.384191,0.0458,-0.0430,-0.1246,0.139
1.400557,0.0247,0.0014,-0.1281,0.130
1.418681,0.0243,0.0199,-0.0830,0.089
1.419561,-0.0085,-0.0236,-0.0612,0.066
1.428346,0.0142,-0.1063,-0.1145,0.157
1.436318,0.0377,-0.1526,-0.1477,0.216
1.446887,0.0558,-0.1838,-0.1333,0.234
1.454951,0.0536,-0.2241,-0.1123,0.256
1.462954,0.0795,-0.2146,-0.0828,0.243
1.472740,0.0763,-0.2003,-0.0621,0.223
1.483449,0.0655,-0.1768,-0.0566,0.197
1.498283,0.0521,-0.1382,-0.0467,0.155
1.514730,0.0579,-0.1022,-0.0235,0.120
1.515227,0.0472,-0.0816,-0.0043,0.094
1.522377,0.0350,-0.0713,-0.0076,0.080
1.532501,0.0344,-0.1039,0.0036,0.110
1.541953,0.0125,-0.1484,0.0231,0.151
1.551895,-0.0111,-0.1557,0.0137,0.157
1.562268,-0.0217,-0.1424,0.0196,0.145
1.573380,-0.0313,-0.1216,0.0385,0.131
1.584725,-0.0309,-0.0938,0.0215,0.101
1.598672,-0.0402,-0.0565,0.0278,0.075
1.601681,-0.0812,-0.0748,-0.0269,0.114
1.615460,-0.0939,-0.0921,-0.0942,0.162
1.623414,-0.0917,-0.1213,-0.1182,0.193
1.633315,-0.1347,-0.1353,-0.1807,0.263
1.640989,-0.2013,-0.1144,-0.2095,0.312
1.651888,-0.2488,-0.1297,-0.2827,0.398
1.663390,-0.2320,-0.1374,-0.3317,0.427
1.674122,-0.2130,-0.1813,-0.3654,0.460
1.680881,-0.1990,-0.2096,-0.3593,0.461
1.691102,-0.1819,-0.2130,-0.3485,0.447
1.701059,-0.1749,-0.1834,-0.3179,0.407
