time,ax (m/s^2),ay (m/s^2),az (m/s^2),aT (m/s^2)
0.000871,-0.0259,-0.3113,0.0426,0.315
0.008447,0.0010,-0.2244,-0.0127,0.225
0.017916,0.0621,-0.1475,-0.0507,0.168
0.028053,0.0672,-0.1022,-0.0417,0.129
0.038018,0.0436,-0.0835,-0.0409,0.103
0.048047,0.0192,-0.1092,-0.0475,0.121
0.059524,0.0171,-0.1338,-0.0027,0.135
0.070923,0.0351,-0.1614,-0.0160,0.166
0.077842,0.0268,-0.1953,-0.0144,0.198
0.087711,0.0448,-0.2358,-0.0211,0.241
0.097097,0.0312,-0.2616,-0.0379,0.266
0.112134,0.0103,-0.2327,-0.0595,0.240
0.117313,-0.0109,-0.2312,-0.0509,0.237
0.127191,-0.0278,-0.2131,-0.1026,0.238
0.137658,-0.0257,-0.1595,-0.1272,0.206
0.148244,-0.0394,-0.1149,-0.1314,0.179
0.156752,-0.0334,-0.0803,-0.1367,0.162
0.167503,-0.0068,-0.0766,-0.1416,0.161
0.176601,0.0040,-0.0993,-0.1199,0.156
0.186910,0.0304,-0.1325,-0.0742,0.155
0.196492,0.0459,-0.1610,-0.0520,0.175
0.214002,0.0494,-0.2229,-0.0542,0.235
0.218739,0.0661,-0.2419,-0.0267,0.252
0.226297,0.0583,-0.2368,-0.0222,0.245
0.236106,0.0482,-0.2722,-0.0410,0.279
0.245956,0.0320,-0.2717,-0.0308,0.275
0.255961,0.0081,-0.2681,-0.0257,0.269
0.265536,-0.0158,-0.2775,-0.0109,0.278
0.276404,-0.0115,-0.2855,-0.0054,0.286
0.285511,-0.0203,-0.2933,-0.0319,0.296
0.297446,-0.0300,-0.2949,-0.0330,0.298
0.311617,-0.0130,-0.2998,-0.0387,0.303
0.316953,-0.0385,-0.2539,-0.0743,0.267
0.324925,-0.0375,-0.2063,-0.0968,0.231
0.335274,-0.0222,-0.1638,-0.1209,0.205
0.344920,0.0367,-0.1453,-0.1124,0.187
0.355421,0.0488,-0.1244,-0.1040,0.169
0.365900,0.0313,-0.1493,-0.1105,0.188
0.374713,-0.1150,-0.1136,-0.1183,0.200
0.384345,-0.1016,-0.1149,-0.1012,0.184
0.397864,0.0699,-0.1767,-0.0572,0.198
0.404257,0.0731,-0.2035,-0.0306,0.218
0.414065,-0.0286,-0.1664,-0.0318,0.172
0.424113,-0.0094,-0.1307,-0.0435,0.138
0.433915,-0.0104,-0.0790,-0.0437,0.091
0.444058,-0.0284,-0.0335,-0.0504,0.067
0.453908,-0.0530,-0.0109,-0.0543,0.077
0.464914,-0.0727,-0.0580,-0.0552,0.108
0.473822,-0.0738,-0.1118,-0.0188,0.135
0.485295,-0.0699,-0.1680,0.0047,0.182
0.494577,-0.1159,-0.2182,0.0267,0.249
0.503539,-0.1074,-0.2392,0.0078,0.262
0.513347,-0.0718,-0.2689,0.0122,0.279
0.523580,-0.0433,-0.3285,0.0330,0.333
0.533110,-0.0280,-0.3574,0.0435,0.361
0.542944,0.0219,-0.3600,0.0610,0.366
0.553480,0.0477,-0.3661,0.0600,0.374
0.563561,0.0489,-0.3365,0.0556,0.345
0.575608,0.0723,-0.3000,0.0609,0.315
0.582434,0.0771,-0.3047,0.0342,0.316
0.592742,0.0981,-0.2907,0.0290,0.308
0.605438,0.1062,-0.2287,0.0263,0.253
0.612886,0.1152,-0.2021,-0.0053,0.233
0.622078,0.1013,-0.1578,-0.0131,0.188
0.631802,0.0750,-0.1109,-0.0763,0.154
0.641905,0.0293,-0.0904,-0.0787,0.123
0.652898,0.0206,-0.1137,-0.0710,0.136
0.661833,0.0405,-0.1115,-0.0839,0.145
0.672045,0.0212,-0.1189,-0.1070,0.161
0.681995,-0.0159,-0.1234,-0.1357,0.184
0.693085,-0.0421,-0.1369,-0.1449,0.204
0.701850,-0.0311,-0.1305,-0.1392,0.193
0.711450,-0.0118,-0.1430,-0.1664,0.220
0.721307,0.0121,-0.1434,-0.1433,0.203
0.731763,-0.0054,-0.1475,-0.1205,0.190
0.742491,-0.0123,-0.1696,-0.1048,0.200
0.751492,-0.0174,-0.1803,-0.1020,0.208
0.761124,-0.0288,-0.1906,-0.0885,0.212
0.776581,-0.0150,-0.2196,-0.0696,0.231
0.780601,0.0083,-0.2261,-0.0436,0.230
0.790448,0.0097,-0.2333,-0.0001,0.234
0.801362,-0.0058,-0.2101,0.0109,0.210
0.811198,-0.0223,-0.1929,-0.0097,0.194
0.821366,-0.0684,-0.2014,0.0540,0.219
0.830662,-0.0696,-0.2058,0.0713,0.229
0.839821,-0.0437,-0.2332,0.0926,0.255
0.849976,-0.0463,-0.2677,0.1124,0.294
0.859834,-0.0304,-0.2865,0.1119,0.309
0.870659,-0.0407,-0.2957,0.0930,0.313
0.879773,-0.0511,-0.2714,0.0768,0.287
0.889712,-0.0541,-0.2336,0.0559,0.246
0.903703,-0.0499,-0.1774,0.0447,0.190
0.916388,-0.1301,-0.1938,-0.0311,0.235
0.919317,-0.0557,-0.1739,0.0593,0.192
0.929679,0.0516,-0.1342,0.0259,0.146
0.940075,0.0219,-0.1101,-0.0418,0.120
0.949933,0.0536,-0.1511,-0.0439,0.166
0.959352,0.1261,-0.1678,-0.0071,0.210
0.969133,0.0644,-0.1698,-0.0648,0.193
0.978981,-0.0200,-0.2352,-0.1883,0.302
0.990168,0.1010,-0.2872,-0.0675,0.312
0.998870,0.1592,-0.3142,-0.0319,0.354
1.009212,0.1693,-0.2498,-0.1553,0.339
1.022078,0.1683,-0.0396,-0.1767,0.247
1.030041,0.1793,0.0673,-0.2074,0.282
1.038290,0.1007,0.0641,-0.2824,0.307
1.047930,0.0952,-0.0063,-0.2899,0.305
1.058330,0.0749,-0.0334,-0.2147,0.230
1.069155,0.0257,-0.0478,-0.1319,0.143
1.079911,-0.0383,-0.0469,-0.0740,0.096
1.087718,-0.0932,-0.1019,0.0383,0.143
1.097523,-0.1203,-0.1519,0.1435,0.241
1.110622,-0.1389,-0.2113,0.2374,0.347
1.119355,-0.1134,-0.2768,0.2719,0.404
1.127544,-0.0969,-0.2656,0.2803,0.398
1.137698,-0.1023,-0.1775,0.2731,0.341
1.147476,-0.1154,-0.1791,0.2153,0.303
1.158228,-0.0852,-0.2708,0.2086,0.352
1.169810,-0.0161,-0.4210,0.1649,0.452
1.176989,-0.0155,-0.4785,0.1132,0.492
1.187582,-0.0328,-0.4128,0.0899,0.424
1.196908,-0.0343,-0.3353,0.0386,0.339
1.206586,-0.0525,-0.2674,-0.0542,0.278
1.220365,-0.0431,-0.1968,-0.1652,0.261
1.228026,0.0243,-0.1361,-0.2251,0.264
1.236911,0.0605,-0.0438,-0.3112,0.320
1.247862,0.0345,-0.0284,-0.3690,0.372
1.256155,0.0297,-0.0475,-0.4231,0.427
1.266997,0.0045,-0.0666,-0.4165,0.422
1.275978,-0.0661,-0.0656,-0.3923,0.403
1.286013,-0.1165,-0.0489,-0.3201,0.344
1.296638,-0.1001,-0.0948,-0.2484,0.284
1.307595,-0.0414,-0.1242,-0.1628,0.209
1.320874,-0.0216,-0.1521,-0.0635,0.166
1.327669,-0.0097,-0.1782,-0.0142,0.179
1.337622,0.0012,-0.2411,0.0016,0.241
1.345024,0.0487,-0.3408,-0.0044,0.344
1.355733,0.0841,-0.3786,-0.0389,0.390
1.364909,0.0699,-0.3342,-0.0572,0.346
1.374908,0.0323,-0.2728,-0.0933,0.290
1.384649,-0.0368,-0.1656,-0.0928,0.193
1.394895,-0.0916,-0.0345,-0.1030,0.142
1.408878,-0.0991,0.0080,-0.0725,0.123
1.425402,-0.0901,-0.0437,0.0178,0.102
1.425946,-0.1352,-0.1466,0.0976,0.222
1.434156,-0.1497,-0.2333,0.2085,0.347
1.444601,-0.1527,-0.3021,0.2586,0.426
1.454282,-0.1491,-0.3807,0.3048,0.510
1.464457,-0.1210,-0.4394,0.3991,0.606
1.473962,-0.1063,-0.4618,0.4080,0.625
1.483688,-0.0898,-0.4757,0.3819,0.617
1.494577,-0.0554,-0.4571,0.3580,0.583
1.509179,-0.0579,-0.4111,0.3084,0.517
1.522608,-0.0944,-0.3625,0.2135,0.431
1.523355,-0.0677,-0.3139,0.0728,0.329
1.533591,-0.0472,-0.2668,-0.0227,0.272
1.543495,0.0078,-0.1712,-0.1418,0.222
1.553146,0.0361,-0.0931,-0.2758,0.293
1.563166,0.0227,-0.0010,-0.3564,0.357
1.573373,0.0269,0.0861,-0.3944,0.405
1.584479,0.0547,0.1149,-0.4646,0.482
1.592899,0.0684,0.1226,-0.4597,0.481
1.603230,0.0984,0.0825,-0.3698,0.391
1.612622,0.1647,0.0189,-0.3287,0.368
1.626777,0.1456,-0.0292,-0.2683,0.307
1.634644,0.0893,-0.0801,-0.2229,0.253
1.642533,0.0899,-0.0951,-0.2107,0.248
1.652131,0.1130,-0.0507,-0.1658,0.207
1.662928,0.1554,-0.0223,-0.1838,0.242
1.673627,0.1814,0.0181,-0.1705,0.250
1.682141,0.1982,0.0753,-0.1564,0.263
1.692171,0.1772,0.0627,-0.1024,0.214
1.702135,0.1397,0.0107,-0.0259,0.142
1.711671,0.0660,-0.0724,0.0723,0.122
1.727825,-0.0122,-0.1857,0.1806,0.259
1.734801,-0.0727,-0.3146,0.2684,0.420
1.742534,-0.1291,-0.4843,0.3136,0.591
1.752894,-0.1809,-0.6559,0.3579,0.769
1.763766,-0.1660,-0.6955,0.3602,0.801
1.776954,-0.1766,-0.6892,0.3725,0.803
1.781764,-0.2287,-0.6873,0.3763,0.816
1.792555,-0.2734,-0.7052,0.3564,0.836
1.801045,-0.2348,-0.6640,0.2748,0.756
1.812224,-0.1831,-0.5049,0.1831,0.567
1.825205,-0.1525,-0.3554,0.0816,0.395
1.832424,-0.1463,-0.2365,-0.0426,0.281
1.842147,-0.1362,-0.0826,-0.1278,0.204
1.850352,-0.1130,-0.0066,-0.1799,0.213
1.860003,-0.1040,-0.0075,-0.1815,0.209
1.871077,-0.0769,-0.0227,-0.1842,0.201
1.880076,-0.0953,-0.0627,-0.1366,0.178
1.889851,-0.0595,-0.1251,-0.0903,0.165
1.899911,-0.0048,-0.1780,-0.0415,0.183
1.912513,0.0193,-0.1738,-0.0233,0.176
1.927808,0.0356,-0.1754,0.0048,0.179
1.934595,0.0350,-0.1619,-0.0306,0.168
1.939393,0.0176,-0.1349,-0.0565,0.147
1.951025,0.0340,-0.1247,-0.1010,0.164
1.959394,0.0577,-0.1012,-0.1029,0.155
1.969040,0.0476,-0.0903,-0.0892,0.136
1.978923,0.0641,-0.0918,-0.0979,0.149
1.989164,0.0500,-0.0805,-0.0936,0.133
1.999803,0.0467,-0.0762,-0.0861,0.124
2.013602,0.0224,-0.0854,-0.0617,0.108
2.018661,-0.0217,-0.1024,-0.0392,0.112
2.029508,-0.0555,-0.1418,-0.0010,0.152
2.038588,-0.0705,-0.1988,0.0502,0.217
2.048426,-0.0850,-0.2377,0.0891,0.268
2.058099,-0.1311,-0.2607,0.1335,0.321
2.069069,-0.1414,-0.2674,0.1456,0.336
2.077983,-0.1240,-0.2749,0.0910,0.315
2.089003,-0.1130,-0.2739,0.0685,0.304
2.100503,-0.0663,-0.2684,0.0381,0.279
2.107841,-0.0380,-0.2351,-0.0055,0.238
2.131683,-0.0001,-0.2030,-0.0407,0.207
2.132201,-0.0010,-0.1705,-0.0705,0.185
2.138524,0.0178,-0.1319,-0.1226,0.181
2.148523,0.0069,-0.1545,-0.1020,0.185
2.157032,0.0396,-0.1770,-0.0870,0.201
2.167705,0.0641,-0.1635,-0.0909,0.198
2.179161,0.0467,-0.1959,-0.0680,0.213
2.187124,0.0546,-0.1825,-0.0428,0.195
2.196863,0.0737,-0.1812,-0.0419,0.200
2.210645,0.0742,-0.1704,-0.0700,0.199
2.222602,0.0600,-0.1730,-0.1069,0.212
2.230154,0.0522,-0.1747,-0.0960,0.206
2.238025,0.0348,-0.1911,-0.0593,0.203
2.246236,0.0250,-0.1974,-0.0580,0.207
2.257389,0.0041,-0.2087,-0.0628,0.218
2.269332,-0.0043,-0.1909,-0.0445,0.196
2.276169,0.0025,-0.1757,-0.0473,0.182
2.286614,-0.0211,-0.1635,-0.0317,0.168
