time,ax (m/s^2),ay (m/s^2),az (m/s^2),aT (m/s^2)
0.000763,-0.1235,-0.1890,-0.2630,0.347
0.001013,0.0136,-0.2234,-0.1750,0.284
0.011322,0.1335,-0.2735,-0.0887,0.317
0.021148,0.2030,-0.2761,-0.0934,0.355
0.030994,0.0729,-0.2582,-0.1323,0.299
0.040877,-0.1819,-0.2102,-0.0522,0.283
0.050893,-0.2724,-0.1769,-0.0932,0.338
0.061048,-0.2875,-0.1372,-0.1706,0.361
0.071537,-0.2606,-0.0803,-0.1623,0.317
0.080645,-0.2216,-0.0392,-0.0866,0.241
0.091058,-0.1290,-0.0261,-0.0874,0.158
0.100471,-0.0570,-0.0253,-0.1732,0.184
0.110932,0.0456,-0.0676,-0.2183,0.233
0.120064,0.0927,-0.1538,-0.0978,0.204
0.131193,0.1528,-0.2342,0.1578,0.321
0.139852,0.2020,-0.2516,0.2043,0.382
0.149799,0.2386,-0.2463,0.0519,0.347
0.161748,0.2275,-0.2178,-0.0298,0.316
0.172149,0.2198,-0.1985,0.0626,0.303
0.179746,0.1477,-0.1637,0.1957,0.295
0.189785,0.0629,-0.1659,0.1261,0.218
0.199566,-0.0518,-0.1853,-0.0919,0.213
0.211062,-0.1546,-0.1767,-0.2428,0.338
0.219253,-0.1844,-0.1605,-0.1354,0.279
0.228957,-0.1591,-0.1382,0.0555,0.218
0.240334,-0.0856,-0.1006,0.1407,0.193
0.248993,0.0497,-0.0997,0.1260,0.168
0.258919,0.1366,-0.1250,0.0952,0.208
0.269167,0.1423,-0.1647,0.0594,0.226
0.278561,0.1383,-0.2293,-0.0110,0.268
0.288465,0.1012,-0.2810,-0.1070,0.317
0.298650,0.0063,-0.3429,-0.2340,0.415
0.308939,-0.1025,-0.3725,-0.3431,0.517
0.318232,-0.2174,-0.3562,-0.4794,0.636
0.329139,-0.3043,-0.3134,-0.5550,0.706
0.338068,-0.4240,-0.1985,-0.5477,0.721
0.348127,-0.4522,-0.0641,-0.5261,0.697
0.357967,-0.4383,0.0641,-0.4758,0.650
0.368028,-0.3155,0.1469,-0.3576,0.499
0.377684,-0.1516,0.1458,-0.1876,0.282
0.387680,0.0199,0.0309,-0.0092,0.038
0.399401,0.1617,-0.1251,0.0258,0.206
0.411626,0.2328,-0.2445,-0.0059,0.338
0.418465,0.2464,-0.2997,-0.0486,0.391
0.427231,0.2210,-0.3251,-0.0165,0.393
0.437041,0.1330,-0.3172,0.0557,0.348
0.446900,-0.0050,-0.2597,0.0663,0.268
0.456931,-0.1687,-0.2121,0.0363,0.273
0.466922,-0.2816,-0.2074,-0.0192,0.350
0.476813,-0.3327,-0.2027,-0.0887,0.400
0.486456,-0.2927,-0.2245,-0.1140,0.386
0.500512,-0.2295,-0.2229,-0.0880,0.332
0.521723,-0.1138,-0.2076,-0.0452,0.241
0.522373,-0.0257,-0.1874,0.0631,0.199
0.529085,0.0140,-0.1791,0.1744,0.250
0.535832,-0.0004,-0.1682,0.2226,0.279
0.545752,-0.0745,-0.1899,0.1941,0.282
0.555907,-0.1390,-0.2125,0.1169,0.280
