time,ax (m/s^2),ay (m/s^2),az (m/s^2),aT (m/s^2)
0.000758,-0.0605,-0.1793,-0.0842,0.207
0.023932,-0.0252,-0.0763,-0.1798,0.197
0.025048,0.0223,-0.0341,-0.2197,0.223
0.030154,0.0171,-0.0297,-0.2081,0.211
0.038449,0.0022,-0.0712,-0.1534,0.169
0.049102,-0.0204,-0.1385,-0.0921,0.168
0.058774,0.0035,-0.2013,-0.0296,0.203
0.068256,0.0171,-0.2552,0.0193,0.257
0.078221,0.0102,-0.2743,0.0714,0.284
0.088366,0.0303,-0.2377,0.0908,0.256
0.099203,0.0031,-0.1895,0.0902,0.210
0.110006,-0.0255,-0.2159,0.0458,0.222
0.118233,-0.0115,-0.2305,0.0331,0.233
0.127906,-0.0331,-0.2262,0.0332,0.231
0.137521,-0.0420,-0.2301,0.0067,0.234
0.149073,-0.0357,-0.2069,0.0209,0.211
0.157711,-0.0085,-0.1497,-0.0082,0.150
0.167955,-0.0125,-0.0932,0.0071,0.094
0.177919,0.0202,-0.0514,0.0176,0.058
0.187770,0.0669,-0.0848,-0.0142,0.109
0.196950,0.1091,-0.1309,-0.0481,0.177
0.214697,0.1194,-0.1468,-0.0452,0.195
0.220810,0.1254,-0.1506,-0.0657,0.207
0.227977,0.1069,-0.1485,-0.0685,0.195
0.238977,0.1007,-0.1647,-0.0970,0.216
0.250066,0.0690,-0.1869,-0.1037,0.225
0.256149,0.0445,-0.1775,-0.1103,0.214
0.266929,0.0474,-0.1911,-0.1109,0.226
0.276812,0.0845,-0.2194,-0.1021,0.256
0.286685,0.1401,-0.2764,-0.0903,0.323
0.297178,0.2000,-0.3280,-0.0740,0.391
0.315223,0.2774,-0.4008,-0.0253,0.488
0.320817,0.3696,-0.4577,0.0010,0.588
0.328458,0.4761,-0.4880,0.0639,0.685
0.339305,0.5737,-0.4734,0.1649,0.762
0.345394,0.5796,-0.4094,0.2842,0.764
0.355577,0.5571,-0.3130,0.3591,0.733
0.366406,0.5173,-0.2100,0.3543,0.661
0.375522,0.4413,-0.0601,0.3327,0.556
0.385823,0.3637,0.0713,0.2861,0.468
0.397554,0.2894,0.1244,0.2357,0.393
0.404840,0.2094,0.0937,0.1886,0.297
0.414844,0.2141,-0.0345,0.1036,0.240
0.424758,0.2396,-0.2314,0.0263,0.334
0.434449,0.2650,-0.3916,-0.0522,0.476
0.444963,0.2753,-0.4944,-0.1003,0.575
0.454820,0.2866,-0.5829,-0.0779,0.654
0.464350,0.3162,-0.6245,-0.0385,0.701
0.474232,0.3585,-0.5795,-0.0007,0.681
0.485360,0.3890,-0.4379,0.0766,0.591
0.494147,0.4244,-0.2669,0.1619,0.527
0.507279,0.4230,-0.1288,0.2576,0.512
0.518162,0.4587,-0.0064,0.2968,0.546
0.523906,0.5085,0.0423,0.3269,0.606
0.533537,0.4709,0.0719,0.3064,0.566
0.543883,0.4034,0.0722,0.3026,0.509
0.553272,0.3426,0.0077,0.2583,0.429
0.563120,0.3717,-0.0790,0.2292,0.444
0.573284,0.4282,-0.2191,0.2219,0.530
0.585372,0.5246,-0.3818,0.2190,0.685
0.593049,0.6325,-0.5137,0.2587,0.855
0.603231,0.7115,-0.6391,0.3027,1.003
0.621438,0.7710,-0.7592,0.3259,1.130
0.626621,0.7728,-0.8002,0.3348,1.162
0.632434,0.7167,-0.7947,0.3612,1.129
0.642325,0.6347,-0.7336,0.4274,1.060
0.653848,0.5116,-0.7080,0.5201,1.017
0.662215,0.2992,-0.6988,0.5782,0.955
0.672177,0.0453,-0.7323,0.4674,0.870
0.682439,-0.2231,-0.7183,0.2337,0.788
0.692147,-0.4705,-0.7879,-0.1399,0.928
0.702132,-0.6915,-1.0033,-0.5754,1.348
0.724873,-0.9349,-1.1875,-0.7818,1.702
0.725351,-1.1002,-1.3818,-0.9129,1.988
0.732057,-1.1997,-1.6373,-0.6177,2.122
0.741829,-1.1870,-1.7060,-0.1498,2.084
0.751968,-1.0900,-1.5847,0.6362,2.026
0.760961,-0.9072,-1.1104,1.5711,2.127
0.772049,-0.6273,-0.5645,2.5124,2.650
0.781245,-0.3289,-0.0647,3.1298,3.148
0.790840,0.1099,0.5370,3.2968,3.342
0.801182,0.6115,0.9738,3.1262,3.331
0.821923,1.2719,1.2562,2.5877,3.145
0.822454,1.9279,1.4056,1.7616,2.966
0.831895,2.1898,1.4862,1.0855,2.861
0.840766,1.9055,1.4213,0.6040,2.453
0.851483,1.3351,1.1159,0.1753,1.749
0.860940,0.6080,0.5733,-0.0812,0.840
0.870525,-0.1660,-0.0511,-0.0972,0.199
0.881087,-0.9771,-0.6424,0.0518,1.171
0.895495,-1.8031,-1.2237,0.3736,2.211
0.905439,-2.4507,-1.7424,0.8164,3.116
0.930055,-2.7132,-2.1734,1.1505,3.662
0.930902,-2.6131,-2.5971,1.3358,3.919
0.931572,-2.3324,-2.8701,1.4678,3.979
0.940580,-1.9793,-2.7407,1.4137,3.664
0.949808,-1.6316,-2.4301,1.3804,3.236
0.960354,-1.3255,-1.9752,1.1527,2.643
0.969584,-1.0166,-1.5810,0.8857,2.078
0.979453,-0.6683,-1.3640,0.7023,1.673
0.990942,-0.3307,-1.3165,0.6197,1.492
1.005918,-0.1030,-1.2416,0.7099,1.434
1.009327,0.0234,-0.9899,0.8390,1.298
1.034784,0.2318,-0.7674,0.9985,1.281
1.035512,0.5111,-0.6119,1.1706,1.416
1.042365,0.8121,-0.5172,1.2782,1.600
1.049932,1.0749,-0.5151,1.3467,1.798
1.061264,1.1468,-0.4272,1.3815,1.846
1.069485,1.0467,-0.2750,1.4539,1.812
1.080824,0.8201,-0.1402,1.5323,1.744
1.088493,0.6319,0.0361,1.5488,1.673
1.098584,0.4278,0.2412,1.5107,1.588
1.108100,0.2165,0.3881,1.5204,1.584
1.134068,0.0541,0.4845,1.4614,1.541
1.134842,-0.0353,0.5208,1.3590,1.456
1.141715,-0.2417,0.5656,1.2727,1.414
1.149564,-0.7069,0.6240,1.2867,1.595
1.160476,-1.2448,0.8236,1.3293,1.999
1.167552,-1.7722,1.1109,1.5075,2.578
1.177606,-2.0146,1.2352,1.8235,2.985
1.188311,-1.7311,1.0789,2.1314,2.950
1.197931,-1.3682,0.8136,2.3971,2.877
1.208028,-1.3419,0.5535,2.6000,2.978
1.236704,-1.5887,0.4560,2.6273,3.104
1.237407,-1.7214,0.4012,2.5152,3.074
1.237792,-1.7071,0.3888,2.3351,2.919
1.252186,-1.5751,0.6378,2.0109,2.633
1.256624,-1.2422,1.0132,1.4691,2.174
1.267163,-0.8368,1.3347,0.8415,1.786
1.276874,-0.3510,1.5113,0.2436,1.571
1.287208,0.1892,1.6195,-0.3367,1.665
1.296659,0.7300,1.6604,-0.8741,2.013
1.307989,1.0356,1.5778,-1.2736,2.277
1.337777,1.0261,1.1692,-1.7074,2.310
1.338484,0.7704,0.4796,-2.0651,2.256
1.338897,0.5204,-0.3712,-2.4416,2.524
1.346300,0.4961,-1.3966,-2.6653,3.050
1.355946,0.6264,-2.1782,-2.6890,3.517
1.366004,0.6852,-2.2014,-2.6250,3.494
1.375883,0.8550,-1.9317,-2.3758,3.179
1.386001,1.3631,-1.8363,-2.1640,3.148
1.395256,1.9317,-1.2290,-1.9814,3.028
1.409525,2.4547,-0.4577,-1.8333,3.098
1.438206,2.6816,0.3315,-1.9565,3.336
1.438922,2.6246,1.5715,-2.0469,3.681
1.439596,2.5355,3.0730,-1.9180,4.422
1.445846,2.1633,4.4287,-1.7507,5.231
1.455212,1.1792,5.3725,-1.6004,5.728
1.464818,-0.1008,5.5574,-1.4404,5.742
1.474452,-1.1639,4.7438,-1.3069,5.056
1.484262,-1.8417,3.0729,-0.9898,3.717
