time,ax (m/s^2),ay (m/s^2),az (m/s^2),aT (m/s^2)
0.000673,0.0072,-0.1926,-0.0013,0.193
0.003585,0.0605,-0.2394,-0.0506,0.252
0.020517,0.1426,-0.2269,-0.1192,0.293
0.024658,0.2217,-0.2467,-0.1565,0.367
0.033057,0.2489,-0.2098,-0.0852,0.336
0.060831,0.2449,-0.1295,0.0003,0.277
0.061629,0.2268,-0.0725,0.0114,0.238
0.066589,0.1129,-0.0206,-0.0715,0.135
0.073348,0.0235,-0.0210,-0.1212,0.125
0.083634,-0.0537,-0.0626,-0.1012,0.131
0.092879,-0.1309,-0.1276,-0.0649,0.194
0.103907,-0.1908,-0.1671,-0.0647,0.262
0.120085,-0.1287,-0.2478,-0.0139,0.280
0.122860,-0.0037,-0.3236,0.1702,0.366
0.133280,0.0497,-0.3379,0.2484,0.422
0.148461,0.0856,-0.3056,0.1369,0.346
0.153656,0.1189,-0.2292,-0.0287,0.260
0.162213,0.1417,-0.0667,0.0106,0.157
0.172012,0.0860,0.0623,0.1064,0.150
0.181722,-0.0266,0.0997,-0.0549,0.117
0.192767,-0.1367,0.0498,-0.2559,0.294
0.203172,-0.1569,-0.0694,-0.2310,0.288
0.211481,-0.1167,-0.2221,-0.0765,0.262
0.221888,-0.0616,-0.3946,0.0445,0.402
0.231504,0.0132,-0.5163,0.0799,0.523
0.252843,0.0689,-0.5713,0.1023,0.584
0.253330,0.0992,-0.5558,0.0337,0.566
0.267279,0.1155,-0.4107,-0.1054,0.439
0.271055,0.0814,-0.2414,-0.1552,0.298
0.282730,0.0160,-0.0804,-0.1499,0.171
0.290591,-0.0539,-0.0046,-0.1136,0.126
0.301954,-0.0868,0.0239,-0.0557,0.106
0.311419,-0.0914,0.0048,0.0203,0.094
0.320433,-0.0637,-0.0244,0.0332,0.076
0.332008,-0.0178,-0.0625,-0.0231,0.069
0.347758,0.0229,-0.0815,-0.0213,0.087
0.353252,0.0552,-0.1059,-0.0174,0.121
0.360306,0.0496,-0.1485,0.0094,0.157
0.372148,-0.0052,-0.1961,0.0322,0.199
0.380377,-0.0520,-0.1960,-0.0178,0.204
0.389580,-0.0731,-0.1539,-0.0843,0.190
0.399939,-0.0981,-0.1353,-0.1690,0.238
