time,ax (m/s^2),ay (m/s^2),az (m/s^2),aT (m/s^2)
0.000916,0.0283,-0.1613,-0.2131,0.269
0.010464,0.1715,-0.0976,-0.2136,0.291
0.019892,0.3493,-0.0449,-0.1687,0.390
0.029377,0.5109,-0.0652,-0.1319,0.532
0.039390,0.5983,-0.1281,-0.0510,0.614
0.049190,0.5469,-0.2175,0.0637,0.592
0.059098,0.4050,-0.3179,0.1752,0.544
0.069266,0.1646,-0.3870,0.2602,0.495
0.080841,-0.0422,-0.4306,0.1991,0.476
0.089012,-0.2599,-0.5147,0.0086,0.577
0.099033,-0.4374,-0.6465,-0.2497,0.820
0.108715,-0.5945,-0.7479,-0.4283,1.047
0.118883,-0.7705,-0.8184,-0.5364,1.245
0.128895,-0.9026,-0.8315,-0.6195,1.375
0.138847,-0.9750,-0.7598,-0.7219,1.431
0.153030,-1.0033,-0.6520,-0.8058,1.443
0.158901,-0.9403,-0.5158,-0.7298,1.297
0.170364,-0.7276,-0.3945,-0.5550,0.997
0.178112,-0.4578,-0.3578,-0.3084,0.658
0.188088,-0.1716,-0.0987,-0.1313,0.238
0.197985,0.0380,0.2784,-0.0382,0.284
0.208023,0.1468,0.5919,-0.0061,0.610
0.217921,0.2290,0.7905,-0.0429,0.824
0.227711,0.2091,0.8986,-0.0050,0.923
0.241063,0.0804,0.7815,0.0914,0.791
0.256641,-0.0327,0.5729,0.2685,0.634
0.257190,-0.1402,0.3005,0.3125,0.456
0.266974,-0.2857,0.0099,0.0621,0.293
0.277241,-0.4122,-0.2086,-0.0838,0.470
0.286912,-0.4128,-0.4200,0.0982,0.597
0.297130,-0.3278,-0.5922,0.4306,0.802
0.307001,-0.2522,-0.6760,0.5444,0.904
0.316477,-0.2157,-0.6471,0.3424,0.763
0.328409,-0.1575,-0.5063,0.2167,0.573
0.341996,-0.0528,-0.3200,0.2666,0.420
0.355847,0.0998,-0.2328,0.2920,0.387
0.356475,0.2414,-0.0258,0.2462,0.346
0.366168,0.3401,0.1926,0.2400,0.459
0.376036,0.4171,0.3162,0.3147,0.611
0.386175,0.4783,0.3390,0.4326,0.729
0.395773,0.4570,0.2109,0.5678,0.759
0.405837,0.3574,0.0260,0.5659,0.670
0.416661,0.2085,-0.2567,0.4685,0.573
0.425761,-0.0164,-0.4263,0.2907,0.516
0.435443,-0.2382,-0.4881,0.1131,0.555
0.445544,-0.3819,-0.5983,-0.0535,0.712
0.456338,-0.4330,-0.7720,-0.1610,0.900
0.465349,-0.4549,-0.9425,-0.2034,1.066
0.475104,-0.4250,-0.9949,-0.2120,1.102
0.485192,-0.3363,-0.9895,-0.1774,1.060
0.495804,-0.2552,-0.9570,-0.1374,1.000
0.505781,-0.1980,-0.9006,-0.1174,0.930
0.514780,-0.1830,-1.0709,-0.1691,1.100
0.524825,-0.1528,-1.1919,-0.2842,1.235
0.534678,-0.1096,-1.0928,-0.4064,1.171
0.549198,-0.0515,-0.8601,-0.5468,1.021
0.557593,-0.0226,-0.7308,-0.6434,0.974
0.564188,-0.0747,-0.6046,-0.5954,0.852
0.574380,-0.2519,-0.5301,-0.3821,0.700
0.585129,-0.4537,-0.4698,-0.0840,0.658
0.596679,-0.5473,-0.4048,0.1090,0.689
0.604190,-0.5376,-0.3884,0.3466,0.748
0.613826,-0.4988,-0.4424,0.6184,0.909
0.623614,-0.4223,-0.5810,0.5767,0.921
0.633641,-0.3326,-0.7984,0.2396,0.898
0.643976,-0.2735,-1.0386,-0.1077,1.079
0.658690,-0.1933,-1.2236,-0.3628,1.291
0.663139,-0.0043,-1.4027,-0.5352,1.501
0.675249,0.2489,-1.5506,-0.5685,1.670
0.682946,0.3686,-1.5534,-0.5514,1.689
0.699300,0.3218,-1.3366,-0.6095,1.504
0.704029,0.1435,-1.0700,-0.7230,1.299
0.712744,-0.0840,-0.8771,-0.6494,1.095
0.722752,-0.2192,-0.7810,-0.4068,0.907
0.732519,-0.3050,-0.7987,-0.3751,0.934
0.745605,-0.3186,-1.0721,-0.3588,1.175
0.760995,-0.2664,-1.4873,-0.1901,1.523
0.762198,-0.2075,-1.9051,0.0140,1.916
0.772994,-0.0806,-2.2153,-0.0076,2.217
0.781967,-0.0004,-2.3786,-0.4305,2.417
0.792372,-0.0162,-2.3334,-0.7376,2.447
0.801836,-0.1779,-2.1986,-0.6080,2.288
0.812221,-0.5479,-1.9859,-0.3207,2.085
0.821702,-1.0648,-1.6250,-0.1037,1.946
0.832405,-1.4539,-1.4038,-0.0547,2.022
0.846015,-1.5626,-1.3094,-0.0277,2.039
0.852488,-1.4366,-1.2243,0.0756,1.889
0.861252,-1.0969,-1.1200,0.1065,1.571
0.871285,-0.6027,-1.0001,0.1505,1.177
0.880955,-0.1351,-0.8030,0.4559,0.933
0.890946,0.1898,-0.6228,0.9942,1.188
0.901322,0.2668,-0.4053,1.4513,1.530
0.910972,0.0088,-0.1724,1.6539,1.663
0.922248,-0.4346,0.0572,1.5599,1.620
0.930901,-0.8076,0.2954,1.1174,1.410
0.941396,-1.0100,0.4240,0.7521,1.329
0.950473,-0.8495,0.3270,0.6426,1.114
0.965138,-0.3678,0.1975,0.7921,0.895
0.971925,0.2451,0.1411,0.9994,1.039
0.980270,0.9115,0.0978,0.9111,1.292
0.990024,1.2834,0.2120,0.6381,1.449
1.001195,1.2198,0.5092,0.4830,1.407
1.011439,0.8677,0.8651,0.5458,1.341
1.019779,0.4025,1.3515,0.4522,1.481
1.029901,-0.0877,1.7888,0.1557,1.798
1.039985,-0.5182,1.9685,0.0731,2.037
1.049610,-0.8504,2.3018,0.2500,2.467
1.062510,-0.9250,2.4691,0.4884,2.682
1.069494,-0.5521,2.2126,0.7701,2.407
1.079155,0.0437,1.9086,0.8354,2.084
1.090779,0.8032,1.4819,0.3081,1.713
1.103961,1.3741,1.5083,-0.7447,2.172
1.108755,1.7445,2.0666,-1.6651,3.176
1.118555,1.8708,2.3749,-1.9132,3.578
1.128660,1.6955,2.7409,-1.4909,3.551
1.138563,1.3192,2.8140,-1.0113,3.268
1.151776,0.5664,2.4081,-0.8189,2.606
1.163070,-0.3577,1.8111,-0.7284,1.985
1.168095,-0.9775,1.3661,-0.2194,1.694
1.178995,-1.0514,1.1210,0.6498,1.669
1.188127,-0.6114,1.0178,0.9881,1.545
1.198004,-0.2055,1.0473,0.6554,1.252
1.208398,0.0488,1.0846,0.2606,1.117
1.217888,0.2061,1.0112,-0.0183,1.032
1.227854,0.3254,0.8337,-0.3708,0.969
1.237748,0.4131,0.5802,-0.7584,1.040
1.252148,0.4155,0.2467,-1.0941,1.196
1.263303,0.4821,-0.2231,-1.1260,1.245
1.269827,0.5305,-0.5678,-0.8805,1.174
1.277365,0.4929,-0.8597,-0.7428,1.238
1.287015,0.3582,-1.1768,-0.8768,1.511
1.297132,0.1996,-1.4951,-0.9733,1.795
1.307039,-0.0004,-1.7783,-1.0878,2.085
1.316881,-0.2192,-2.0408,-1.2123,2.384
1.326654,-0.3954,-2.2506,-1.3360,2.647
1.336887,-0.4272,-2.3343,-1.3677,2.739
1.351012,-0.3115,-2.2335,-1.3433,2.625
1.356626,-0.0839,-2.0276,-1.3752,2.451
1.366460,0.1858,-1.8600,-1.4192,2.347
1.376557,0.4025,-1.7836,-1.4154,2.312
1.386286,0.5855,-1.8719,-1.4125,2.417
1.396278,0.6021,-2.0501,-1.4030,2.556
1.405938,0.4905,-2.1668,-1.2761,2.562
1.416090,0.3313,-2.2538,-1.0792,2.521
1.427147,0.1162,-2.4956,-0.7847,2.619
1.438409,-0.1389,-2.8759,-0.3740,2.903
1.446233,-0.3304,-3.2637,0.0772,3.281
1.455915,-0.4498,-3.5099,0.3122,3.552
1.468948,-0.4505,-3.5420,0.1762,3.575
1.475231,-0.2005,-3.3165,-0.3296,3.339
1.486207,0.2353,-2.8918,-0.8491,3.023
1.495119,0.5662,-2.0549,-0.8220,2.284
1.505871,0.7939,-0.9550,-0.0383,1.242
1.516655,0.8623,-0.1223,1.2301,1.507
1.524923,0.6694,0.4467,2.4524,2.581
1.535500,0.1854,0.4797,2.8386,2.885
1.545030,-0.3845,-0.0334,2.0960,2.131
1.554650,-0.7984,-0.8170,0.5821,1.282
