time,ax (m/s^2),ay (m/s^2),az (m/s^2),aT (m/s^2)
0.000712,-0.0007,-0.2790,-0.1913,0.338
0.009795,0.1221,-0.1510,-0.3347,0.387
0.019545,0.1570,-0.0006,-0.3813,0.412
0.029728,0.1118,-0.0054,-0.3295,0.348
0.039514,0.1007,-0.1083,-0.2257,0.270
0.052191,0.0914,-0.1811,-0.1172,0.234
0.070911,0.0773,-0.2547,-0.0103,0.266
0.071247,0.0618,-0.2757,0.0776,0.293
0.079052,0.0878,-0.2727,0.1051,0.305
0.089028,0.0967,-0.2709,0.0936,0.303
0.099017,0.1003,-0.2773,0.0778,0.305
0.109042,0.1206,-0.2633,0.0363,0.292
0.118918,0.1144,-0.2481,-0.0082,0.273
0.128667,0.1108,-0.2424,-0.0099,0.267
0.139280,0.1307,-0.2304,-0.0287,0.266
0.152308,0.1264,-0.2140,-0.0172,0.249
0.172298,0.1280,-0.2339,0.0060,0.267
0.172801,0.1154,-0.2452,-0.0143,0.271
0.178532,0.0975,-0.2520,-0.0429,0.274
0.188348,0.1249,-0.2795,-0.0126,0.306
0.198183,0.1022,-0.3069,0.0387,0.326
0.208569,0.1028,-0.2869,0.0861,0.317
0.217834,0.1262,-0.2490,0.0766,0.289
0.228079,0.1394,-0.2536,0.0408,0.292
0.239200,0.1715,-0.2339,0.0198,0.291
0.247696,0.1739,-0.2557,-0.0562,0.314
0.257565,0.2054,-0.2706,-0.0547,0.344
0.270450,0.1835,-0.3075,-0.0410,0.360
0.277090,0.1504,-0.3603,-0.0254,0.391
0.287493,0.1510,-0.3661,-0.0214,0.397
0.297385,0.1745,-0.2488,-0.0078,0.304
0.306839,0.1961,-0.0787,-0.0172,0.212
0.317617,0.1108,-0.0593,-0.0869,0.153
0.329129,0.2081,-0.1368,-0.1067,0.271
0.336510,0.3043,-0.1758,-0.1016,0.366
0.346517,0.3257,-0.2884,-0.0995,0.446
0.381205,0.3194,-0.3821,-0.0640,0.502
0.381621,0.3283,-0.4862,-0.0341,0.588
0.381837,0.4042,-0.5868,-0.0131,0.713
0.386584,0.4643,-0.6661,0.0518,0.814
0.400130,0.4909,-0.6698,0.1031,0.837
0.411816,0.4864,-0.5879,0.1221,0.773
0.415780,0.4597,-0.4629,0.1264,0.664
0.425920,0.4046,-0.3606,0.1383,0.559
0.435670,0.3577,-0.2522,0.1514,0.463
0.445750,0.3003,-0.2076,0.1302,0.388
0.456888,0.2197,-0.1773,0.0898,0.296
0.492751,0.1147,-0.1788,0.0574,0.220
0.493363,0.0174,-0.2044,0.0301,0.207
0.493712,-0.1556,-0.1815,-0.0175,0.240
0.499184,-0.3522,-0.1715,0.0151,0.392
0.505306,-0.4850,-0.1877,-0.0071,0.520
0.515032,-0.6263,-0.1993,-0.0546,0.660
0.526301,-0.7850,-0.2381,-0.0703,0.823
0.535087,-0.8949,-0.2815,-0.0902,0.942
0.545100,-0.9317,-0.3299,-0.0308,0.989
0.555508,-0.8816,-0.3664,0.1404,0.965
0.566266,-0.7042,-0.3698,0.3314,0.862
0.576054,-0.4840,-0.3442,0.4375,0.738
0.584355,-0.2872,-0.2590,0.4069,0.561
0.594538,-0.1872,-0.1288,0.2606,0.346
0.604206,-0.1607,0.0190,0.1387,0.213
0.613653,-0.2207,0.1676,0.0269,0.278
0.624000,-0.2980,0.2273,-0.0220,0.375
0.633978,-0.3457,0.1880,0.0298,0.395
0.644365,-0.3933,0.0645,0.1709,0.434
0.655347,-0.4184,-0.1331,0.4010,0.595
0.667355,-0.4902,-0.3957,0.7263,0.961
0.673724,-0.5470,-0.6286,1.0323,1.327
0.684085,-0.5357,-0.7902,1.2778,1.595
0.693670,-0.4932,-0.8020,1.4041,1.691
0.703138,-0.4323,-0.6427,1.3831,1.585
0.713144,-0.3750,-0.4024,1.2356,1.352
0.723125,-0.2751,-0.0841,1.0431,1.082
